ability,5,10,TAM
able,7,10,TAM
about,7,10,TAM
above,7,10,TAM
abroad,1,10,TAM
absence,5,10,TAM
absolute,5,10,TAM
absolutely,7,10,TAM
abstract,5,10,TAM
abundant,5,10,TAM
abuse,5,10,TAM
academic,6,10,TAM
accept,7,10,TAM
acceptable,8,10,TAM
accepted,7,10,TAM
access,8,10,TAM
accessible,7,10,TAM
accident,9,10,TAM
accompany,9,10,TAM
accomplished,7,10,TAM
according,7,10,TAM
accordingly,7,10,TAM
account,7,10,TAM
accountant,9,10,TAM
accounting,10,10,TAM
accuracy,5,10,TAM
accurate,7,10,TAM
accurately,7,10,TAM
achieve,7,10,TAM
achievement,9,10,TAM
acquired,5,10,TAM
across,7,10,TAM
act,9,10,TAM
acting,10,10,TAM
action,2,10,TAM
active,5,10,TAM
actively,7,10,TAM
activity,5,10,TAM
actor,1,10,TAM
acts,3,10,TAM
actual,8,10,TAM
actually,7,10,TAM
ad,3,10,TAM
add,8,10,TAM
added,7,10,TAM
addiction,2,10,TAM
addition,2,10,TAM
additional,7,10,TAM
additionally,7,10,TAM
address,9,10,TAM
adequate,5,10,TAM
adjust,8,10,TAM
administration,2,10,TAM
admission,2,10,TAM
admit,9,10,TAM
adopted,9,10,TAM
adult,5,10,TAM
advance,6,10,TAM
advanced,6,10,TAM
advancement,6,10,TAM
advancing,6,10,TAM
advantage,6,10,TAM
advent,3,10,TAM
adventure,3,10,TAM
advertisement,5,10,TAM
advertising,10,10,TAM
advice,9,10,TAM
advised,7,10,TAM
advocate,9,10,TAM
affect,7,10,TAM
affected,7,10,TAM
affecting,10,10,TAM
affection,2,10,TAM
afraid,3,10,TAM
after,7,10,TAM
afternoon,3,10,TAM
afterwards,7,10,TAM
again,7,10,TAM
against,3,10,TAM
age,3,10,TAM
aged,7,10,TAM
agency,9,10,TAM
agent,9,10,TAM
ago,3,10,TAM
agree,7,10,TAM
agreed,7,10,TAM
agreement,9,10,TAM
agriculture,6,10,TAM
ahead,1,10,TAM
aid,9,10,TAM
aids,5,10,TAM
aim,9,10,TAM
air,1,10,TAM
airplane,1,10,TAM
airport,9,10,TAM
alcohol,1,10,TAM
alert,3,10,TAM
alike,3,10,TAM
alive,3,10,TAM
all,7,10,TAM
allow,7,10,TAM
almost,7,10,TAM
alone,3,10,TAM
along,10,10,TAM
already,7,10,TAM
also,7,10,TAM
alternate,5,10,TAM
alternative,5,10,TAM
although,7,10,TAM
always,7,10,TAM
am,3,10,TAM
amazing,10,10,TAM
among,10,10,TAM
amongst,3,10,TAM
amount,7,10,TAM
an,7,10,TAM
analysis,6,10,TAM
analytical,6,10,TAM
analyze,5,10,TAM
ancestors,3,10,TAM
ancient,6,10,TAM
and,3,10,TAM
angle,1,10,TAM
angles,1,10,TAM
angry,3,10,TAM
animal,6,10,TAM
animation,2,10,TAM
another,7,10,TAM
answer,7,10,TAM
anti,5,10,TAM
any,7,10,TAM
anybody,7,10,TAM
anymore,7,10,TAM
anyone,7,10,TAM
anything,7,10,TAM
anyway,7,10,TAM
anywhere,7,10,TAM
apart,3,10,TAM
apartment,9,10,TAM
apparently,7,10,TAM
appeal,9,10,TAM
appear,7,10,TAM
appearance,1,10,TAM
apple,1,10,TAM
applicable,7,10,TAM
application,2,10,TAM
applied,6,10,TAM
apply,7,10,TAM
appreciate,7,10,TAM
appreciation,2,10,TAM
approach,5,10,TAM
appropriate,7,10,TAM
appropriately,7,10,TAM
approximately,7,10,TAM
apt,8,10,TAM
architect,3,10,TAM
architecture,6,10,TAM
are,7,10,TAM
area,9,10,TAM
argument,8,10,TAM
arise,6,10,TAM
army,9,10,TAM
around,4,10,TAM
arrive,3,10,TAM
art,6,10,TAM
article,7,10,TAM
artificial,5,10,TAM
artist,3,10,TAM
artistic,6,10,TAM
arts,6,10,TAM
as,7,10,TAM
aside,3,10,TAM
ask,7,10,TAM
aspect,5,10,TAM
assert,8,10,TAM
assess,7,10,TAM
asset,9,10,TAM
assign,8,10,TAM
assigned,7,10,TAM
assignment,5,10,TAM
assist,7,10,TAM
assistance,5,10,TAM
associate,9,10,TAM
associated,7,10,TAM
association,2,10,TAM
assume,7,10,TAM
assumption,2,10,TAM
assure,7,10,TAM
at,3,10,TAM
atmosphere,5,10,TAM
attached,7,10,TAM
attack,1,10,TAM
attempt,7,10,TAM
attend,7,10,TAM
attention,2,10,TAM
attitude,8,10,TAM
attract,5,10,TAM
attraction,2,10,TAM
audience,5,10,TAM
authentic,5,10,TAM
author,8,10,TAM
authority,9,10,TAM
automatically,7,10,TAM
automobile,1,10,TAM
availability,5,10,TAM
available,7,10,TAM
average,5,10,TAM
avoid,7,10,TAM
aware,7,10,TAM
awareness,5,10,TAM
away,3,10,TAM
baby,1,10,TAM
bachelor,6,10,TAM
back,1,10,TAM
background,4,10,TAM
bad,7,10,TAM
bag,1,10,TAM
balance,5,10,TAM
balanced,1,10,TAM
ball,1,10,TAM
ban,1,10,TAM
band,1,10,TAM
bank,9,10,TAM
banking,10,10,TAM
bar,1,10,TAM
barrier,1,10,TAM
base,5,10,TAM
baseball,1,10,TAM
based,5,10,TAM
