lang1_ETS,lang2_ETS,weighted_mean_trade,mean_trade,weighted_sum_trade,sum_trade
por,fre,-18.311390309385203,-16.938579361538903,-19.00453748994515,-17.63172654209885
spa,fre,-17.017415766572128,-16.008766033151165,-17.710562947132075,-16.701913213711112
ger,fre,-19.377532099332118,-16.71036912794048,-20.070679279892065,-17.403516308500425
jpn,fre,-19.060341548529614,-17.086322784870386,-19.753488729089558,-17.77946996543033
ind,fre,-17.785569754995667,-16.759718030650426,-18.47871693555561,-17.45286521121037
mal,fre,-19.25715203251489,-17.581617694177037,-19.950299213074835,-18.274764874736984
pan,fre,-19.27157017385596,-17.20307122859645,-19.964717354415907,-17.896218409156397
tgl,fre,-15.975137172271412,-17.729676164960523,-16.668284352831357,-18.422823345520467
tel,fre,-19.20578730891068,-16.678103931619262,-19.898934489470623,-17.371251112179205
tha,fre,-19.58400259320326,-18.704203099978756,-20.277149773763206,-19.397350280538703
urd,fre,-19.018429948917507,-16.65992396199613,-19.71157712947745,-17.353071142556075
gre,fre,-17.166109621246324,-16.519737280801444,-17.859256801806268,-17.21288446136139
rus,fre,-18.289127395581534,-16.38512700688036,-18.982274576141478,-17.078274187440304
ita,fre,-18.69348988053333,-17.47985822095034,-19.38663706109328,-18.173005401510284
pol,fre,-17.611881672448973,-16.678881120040245,-18.30502885300892,-17.37202830060019
tur,fre,-19.723161726265868,-16.90454216795719,-20.41630890682581,-17.597689348517132
kor,fre,-18.6364438971408,-17.303340767529686,-19.329591077700748,-17.996487948089634
vie,fre,-19.60349410117362,-18.020943102629086,-20.296641281733564,-18.714090283189034
rum,fre,-16.667494574481854,-16.046834628636642,-17.360641755041797,-16.73998180919659
guj,fre,-18.940897027212674,-15.98843815564598,-19.634044207772618,-16.681585336205924
hin,fre,-19.332580786937605,-17.122747188106665,-20.025727967497552,-17.81589436866661
yor,fre,-17.19560373734534,-16.74520447737697,-17.888750917905288,-17.438351657936916
mar,fre,-19.264519550662936,-16.71852983110834,-19.957666731222883,-17.411677011668285
kan,fre,-19.264420929134882,-19.262086318726865,-19.957568109694826,-19.95523349928681
tam,fre,-14.43415422123355,-17.694190342272552,-15.127301401793494,-18.3873375228325
ibo,fre,-17.42922024467248,-17.423641373872538,-18.122367425232426,-18.116788554432485
nep,fre,-17.42922024467248,-17.423641373872538,-18.122367425232426,-18.116788554432485
spa,por,-18.12246603844795,-17.65166257606153,-18.815613219007897,-18.344809756621473
tgl,por,-18.398728100571724,-18.46043890348197,-19.091875281131667,-19.153586084041915
tel,por,-18.816862343991286,-17.273906638600266,-19.510009524551233,-17.96705381916021
tha,por,-21.07454930729326,-19.304121552631436,-21.767696487853208,-19.997268733191383
urd,por,-18.47022709371795,-17.651354385284634,-19.163374274277892,-18.344501565844578
rus,por,-17.92411367202087,-17.40302571989712,-18.617260852580813,-18.096172900457063
tur,por,-19.771111005888077,-18.051594951233938,-20.464258186448024,-18.74474213179388
vie,por,-20.200379636512437,-18.856585542570954,-20.89352681707238,-19.549732723130898
rum,por,-16.037947172599736,-17.06622657855644,-16.73109435315968,-17.759373759116382
yor,por,-16.93787920556746,-17.045859238268765,-17.631026386127402,-17.739006418828712
tam,por,-15.981663343072174,-17.313319675128668,-16.67481052363212,-18.00646685568861
tgl,spa,-17.27824382256757,-18.346405528228015,-17.971391003127515,-19.039552708787962
tel,spa,-19.593627381240964,-16.047572506702554,-20.286774561800907,-16.7407196872625
tha,spa,-19.25201972388782,-18.20576270230606,-19.945166904447767,-18.898909882866004
urd,spa,-18.898014906013064,-16.474035449552503,-19.591162086573007,-17.167182630112446
tur,spa,-18.662534108205357,-17.385246896878385,-19.3556812887653,-18.07839407743833
vie,spa,-20.214614823422473,-18.952980702774134,-20.90776200398242,-19.646127883334078
yor,spa,-16.101590632733227,-16.685935209172335,-16.794737813293175,-17.379082389732282
tam,spa,-14.52305016690751,-16.82974571957918,-15.216197347467453,-17.522892900139123
fre,ben,-19.01251429674908,-16.833747668683326,-19.705661477309025,-17.52689484924327
por,ben,-19.694456625026543,-18.3160651248612,-20.38760380558649,-19.009212305421148
spa,ben,-19.29379009499518,-17.67246688431239,-19.986937275555125,-18.365614064872332
ger,ben,-21.01851030858572,-18.73943845517289,-21.71165748914567,-19.432585635732835
jpn,ben,-20.235540253021753,-19.004005390170125,-20.928687433581697,-19.69715257073007
ind,ben,-20.776317915660215,-19.333712218593202,-21.46946509622016,-20.026859399153146
mal,ben,-22.0875480715941,-20.380944181307466,-22.78069525215404,-21.074091361867413
pan,ben,-21.786790899632,-19.160212181068122,-22.479938080191943,-19.853359361628065
fas,ben,-19.543210709273573,-19.914324851466986,-20.236357889833517,-20.60747203202693
tgl,ben,-19.907421172947558,-19.631929821821508,-20.600568353507505,-20.325077002381455
tel,ben,-21.511699470005873,-18.61349557543563,-22.204846650565816,-19.306642755995576
tha,ben,-21.596321791963387,-21.765666318547108,-22.289468972523327,-22.458813499107052
urd,ben,-20.47807721349635,-18.56490018799947,-21.171224394056292,-19.258047368559417
eng,ben,-18.199242186044707,-16.751105895451623,-18.892389366604654,-17.444253076011567
gre,ben,-18.940290143248973,-18.071851486869043,-19.633437323808913,-18.76499866742899
rus,ben,-19.151039277668925,-17.658034273662913,-19.84418645822887,-18.351181454222857
ita,ben,-20.820988772194596,-19.768801165189192,-21.514135952754543,-20.46194834574914
pol,ben,-20.121558457577827,-18.551485405282193,-20.814705638137774,-19.244632585842137
tur,ben,-20.262590074907454,-18.539867904255477,-20.9557372554674,-19.233015084815424
kor,ben,-20.516464808688472,-19.34455632672971,-21.209611989248415,-20.037703507289656
vie,ben,-22.417586503780893,-19.786854053350165,-23.110733684340843,-20.48000123391011
dut,ben,-20.83722843944209,-21.254614062738632,-21.530375620002037,-21.94776124329858
rum,ben,-17.98112475714172,-16.75614760685249,-18.67427193770167,-17.449294787412434
guj,ben,-20.474833045039404,-17.892058019441016,-21.167980225599347,-18.58520520000096
hin,ben,-21.73545091369727,-19.73174563045943,-22.428598094257218,-20.424892811019376
bul,ben,-18.624971185638763,-17.927156955856127,-19.318118366198707,-18.620304136416074
yor,ben,-17.47027082281289,-17.618869133870607,-18.163418003372833,-18.31201631443055
chi,ben,-23.08437550702276,-18.16608183509083,-23.7775226875827,-18.859229015650776
mar,ben,-22.57977478654152,-17.734713892208944,-23.272921967101468,-18.427861072768888
kan,ben,-22.583203540078213,-22.583219726753477,-23.276350720638156,-23.276366907313417
tam,ben,-17.444769938429438,-19.919183291812885,-18.137917118989385,-20.612330472372832
ibo,ben,-16.050074608435498,-16.05014207392344,-16.743221788995445,-16.743289254483383
nep,ben,-16.050074608435498,-16.05014207392344,-16.743221788995445,-16.743289254483383
por,ger,-19.97919107720167,-17.780745427129894,-20.672338257761613,-18.473892607689837
spa,ger,-19.299310771744956,-17.239937099720986,-19.992457952304903,-17.933084280280934
jpn,ger,-20.07522676411533,-18.400201291322094,-20.768373944675275,-19.093348471882038
ind,ger,-18.87422181163036,-17.67973332549887,-19.567368992190303,-18.372880506058817
mal,ger,-20.131689088211907,-18.766190797376247,-20.82483626877185,-19.45933797793619
pan,ger,-20.331544610264196,-18.245342754283858,-21.02469179082414,-18.938489934843805
tgl,ger,-18.542005654512995,-18.76124362150462,-19.23515283507294,-19.454390802064566
tel,ger,-20.07213823855542,-17.47116979203877,-20.76528541911537,-18.164316972598716
tha,ger,-20.202301363915538,-19.32147489023312,-20.895448544475485,-20.014622070793067
urd,ger,-19.86225606606088,-17.489979966468184,-20.555403246620827,-18.18312714702813
gre,ger,-19.389892093844978,-18.245401003801764,-20.08303927440492,-18.938548184361707
rus,ger,-21.008663658578968,-18.295833909943273,-21.701810839138908,-18.98898109050322
ita,ger,-21.326217387993367,-19.09521357450312,-22.019364568553307,-19.788360755063064
pol,ger,-21.256348935817645,-18.971885933032727,-21.94949611637759,-19.665033113592674
tur,ger,-21.65893524439315,-18.724646675766312,-22.352082424953092,-19.417793856326256
kor,ger,-20.081657945350617,-18.40301817778873,-20.774805125910568,-19.096165358348674
vie,ger,-22.41099820750527,-19.379656772756096,-23.104145388065213,-20.072803953316043
rum,ger,-19.305378603371963,-17.981875435423895,-19.99852578393191,-18.67502261598384
guj,ger,-19.88045402062266,-16.98723758744061,-20.57360120118261,-17.680384768000554
hin,ger,-19.894555887820058,-17.724225589158923,-20.58770306838,-18.417372769718867
yor,ger,-17.287146303949964,-17.231045359117914,-17.98029348450991,-17.924192539677858
mar,ger,-19.974211827005846,-18.592069133559544,-20.667359007565793,-19.285216314119488
kan,ger,-19.96770005975424,-19.949093291346575,-20.660847240314187,-20.64224047190652
tam,ger,-15.3859026467663,-17.341474040172706,-16.079049827326248,-18.03462122073265
ibo,ger,-17.337831939288765,-17.305498115800287,-18.03097911984871,-17.998645296360234
nep,ger,-17.337831939288765,-17.305498115800287,-18.03097911984871,-17.998645296360234
por,jpn,-20.381363182378955,-18.407842799524982,-21.074510362938902,-19.100989980084925
spa,jpn,-19.839297174209964,-18.57552998747454,-20.53244435476991,-19.268677168034483
mal,jpn,-21.740945374272336,-19.91981765622503,-22.43409255483228,-20.61296483678498
pan,jpn,-21.64541588049225,-19.225317776597752,-22.338563061052195,-19.918464957157695
tgl,jpn,-21.143372903507203,-20.03590239718049,-21.836520084067146,-20.729049577740433
tel,jpn,-21.37761856528362,-18.82382255287754,-22.070765745843566,-19.516969733437485
tha,jpn,-23.63254009873648,-20.406652496311363,-24.325687279296428,-21.099799676871307
urd,jpn,-20.96414206323046,-18.548199881753913,-21.65728924379041,-19.24134706231386
rus,jpn,-20.678030850790623,-17.939779411106933,-21.371178031350567,-18.632926591666877
pol,jpn,-21.201098838832486,-18.930041289617026,-21.89424601939243,-19.623188470176974
tur,jpn,-21.11062258581793,-18.65298446251864,-21.80376976637788,-19.346131643078586
kor,jpn,-21.832426194329543,-19.7049672624692,-22.52557337488949,-20.398114443029144
vie,jpn,-23.770207604240564,-20.046543517624055,-24.463354784800508,-20.739690698184003
rum,jpn,-19.90045885303246,-17.760739689705982,-20.593606033592405,-18.45388687026593
yor,jpn,-17.752157981281346,-17.497739207962788,-18.445305161841294,-18.190886388522735
mar,jpn,-21.541292056021142,-19.448597663954963,-22.23443923658109,-20.141744844514907
kan,jpn,-21.55378278571658,-21.39422588402886,-22.246929966276525,-22.087373064588803
tam,jpn,-16.708181299966554,-17.889920936441946,-17.4013284805265,-18.58306811700189
nep,jpn,-17.20312460603295,-17.197786268481355,-17.896271786592898,-17.8909334490413
por,ind,-19.123241061148903,-18.879958265504577,-19.816388241708847,-19.573105446064524
spa,ind,-18.34253310235416,-18.712190561259852,-19.035680282914104,-19.4053377418198
jpn,ind,-21.100056945523963,-20.41259683673059,-21.793204126083907,-21.105744017290533
mal,ind,-21.81849793562237,-21.038150981726695,-22.51164511618232,-21.73129816228664
pan,ind,-21.28585398306237,-20.31557764676885,-21.979001163622318,-21.008724827328795
tgl,ind,-20.76620030107355,-20.524572214837878,-21.459347481633493,-21.217719395397825
tel,ind,-21.275604260845277,-19.719328772754572,-21.968751441405225,-20.412475953314516
tha,ind,-22.716686982948342,-21.810981671352536,-23.409834163508286,-22.50412885191248
urd,ind,-20.34000895453279,-19.543390140977476,-21.03315613509274,-20.23653732153742
rus,ind,-19.273518429273633,-18.72214476019393,-19.96666560983358,-19.415291940753878
ita,ind,-20.659095514854787,-20.058471455843094,-21.352242695414734,-20.75161863640304
pol,ind,-20.031548039115766,-19.561922245203533,-20.724695219675713,-20.255069425763477
tur,ind,-19.56738845740684,-19.19816596921502,-20.260535637966786,-19.891313149774966
kor,ind,-20.358972307502803,-19.862505509937755,-21.052119488062747,-20.5556526904977
vie,ind,-21.716897534678814,-21.42075919757866,-22.41004471523876,-22.11390637813861
rum,ind,-18.227214441100575,-18.453259989321605,-18.920361621660522,-19.146407169881552
yor,ind,-20.115904735745282,-20.048213199154954,-20.809051916305226,-20.7413603797149
mar,ind,-22.15706119300182,-20.564963554277035,-22.850208373561767,-21.25811073483698
kan,ind,-22.702391950878546,-22.702447184175327,-23.395539131438493,-23.395594364735274
tam,ind,-18.878604168674162,-20.25252768234977,-19.57175134923411,-20.945674862909716
nep,ind,-20.242126741430543,-20.25711777586363,-20.935273921990486,-20.950264956423574
por,mal,-20.377828707143877,-19.091275494008986,-21.07097588770382,-19.784422674568933
spa,mal,-19.574430048889784,-18.48932480540511,-20.267577229449728,-19.182471985965055
pan,mal,-22.017400559739357,-20.209777481612225,-22.710547740299305,-20.90292466217217
tgl,mal,-20.5893376689471,-20.58505085936864,-21.282484849507046,-21.278198039928583
tel,mal,-21.688348920940346,-19.97125575270046,-22.38149610150029,-20.664402933260405
tha,mal,-24.094390862511613,-22.49805294826642,-24.78753804307156,-23.191200128826363
urd,mal,-21.236362987223732,-19.603528785136362,-21.92951016778368,-20.296675965696306
rus,mal,-20.187916969239165,-18.55009635670456,-20.881064149799112,-19.243243537264505
pol,mal,-20.8126255895568,-19.593909520200768,-21.505772770116746,-20.28705670076071
tur,mal,-20.806718848357757,-19.482206458373145,-21.499866028917705,-20.175353638933093
vie,mal,-22.968395736497857,-21.620969373132578,-23.661542917057805,-22.31411655369252
rum,mal,-19.803755135464748,-17.944604091547298,-20.49690231602469,-18.637751272107245
yor,mal,-19.918590644529985,-18.547311650159333,-20.61173782508993,-19.24045883071928
mar,mal,-22.49458091689026,-20.108506740056583,-23.187728097450204,-20.80165392061653
tam,mal,-16.713151718743294,-19.496904336352753,-17.40629889930324,-20.1900515169127
nep,mal,-18.751115772967957,-18.75107104124281,-19.4442629535279,-19.444218221802753
por,pan,-20.084431253014735,-18.738347783494348,-20.777578433574682,-19.43149496405429
spa,pan,-19.511792184065136,-18.369013371413267,-20.20493936462508,-19.062160551973214
tgl,pan,-21.20586155296506,-20.25622878403981,-21.899008733525008,-20.949375964599753
tel,pan,-21.59806140959516,-19.38053908540207,-22.291208590155108,-20.073686265962017
tha,pan,-23.97235734376611,-21.390053009447826,-24.665504524326057,-22.08320019000777
urd,pan,-21.247254556647096,-19.32369488176754,-21.940401737207043,-20.016842062327488
rus,pan,-20.36572245544586,-18.24590883273125,-21.05886963600581,-18.939056013291196
pol,pan,-21.043246389035133,-19.13801831975259,-21.736393569595077,-19.831165500312537
tur,pan,-20.916693526104,-18.983163135672864,-21.609840706663945,-19.676310316232808
vie,pan,-22.961236007414694,-21.07933473878821,-23.65438318797464,-21.772481919348152
rum,pan,-19.697441412136783,-18.193914614200736,-20.390588592696727,-18.88706179476068
yor,pan,-20.891143634588015,-19.04199365057508,-21.58429081514796,-19.735140831135023
tam,pan,-18.515182755842414,-20.486324286438606,-19.20832993640236,-21.179471466998553
fre,fas,-18.44285285209534,-17.718103664404747,-19.136000032655282,-18.41125084496469
por,fas,-19.92230728507562,-18.946280868795338,-20.615454465635565,-19.63942804935528
spa,fas,-17.468304847829383,-18.170546160341875,-18.161452028389327,-18.86369334090182
ger,fas,-20.335137017807366,-19.084209021850572,-21.028284198367313,-19.77735620241052
jpn,fas,-20.173182659520542,-18.870437591365068,-20.866329840080486,-19.563584771925015
ind,fas,-18.989289529072856,-18.674914169706657,-19.682436709632803,-19.3680613502666
mal,fas,-20.925718328480226,-19.898785052075286,-21.618865509040173,-20.591932232635234
pan,fas,-20.516097904907742,-19.425487703371225,-21.20924508546769,-20.11863488393117
tgl,fas,-18.226732885595183,-19.593041280905876,-18.919880066155127,-20.286188461465823
tel,fas,-20.501296120458253,-18.911463927524178,-21.194443301018197,-19.60461110808412
tha,fas,-18.486722324659457,-20.100914276949517,-19.1798695052194,-20.79406145750946
urd,fas,-20.182594298043433,-18.78150680691156,-20.875741478603377,-19.474653987471502
gre,fas,-18.518853749150516,-18.673680741389354,-19.212000929710463,-19.366827921949298
rus,fas,-19.563886346547417,-18.651382613822683,-20.25703352710736,-19.34452979438263
ita,fas,-19.84476139546811,-19.5023842878065,-20.53790857602806,-20.195531468366443
pol,fas,-19.172890016783217,-19.26598136543723,-19.86603719734316,-19.959128545997178
tur,fas,-19.162019706262996,-19.074360940085207,-19.85516688682294,-19.76750812064515
kor,fas,-19.938744697132663,-19.28597642902818,-20.631891877692606,-19.97912360958813
vie,fas,-20.212612507650356,-20.150339290132766,-20.905759688210303,-20.843486470692714
rum,fas,-17.71756625403224,-18.173470507854223,-18.410713434592186,-18.86661768841417
guj,fas,-20.408717504500153,-18.215786319861877,-21.101864685060097,-18.908933500421824
hin,fas,-21.217395813070933,-18.77464519974444,-21.91054299363088,-19.467792380304385
yor,fas,-17.990905110733728,-18.183545779961715,-18.68405229129367,-18.87669296052166
mar,fas,-21.251856936068098,-19.2785995030579,-21.945004116628045,-19.971746683617845
kan,fas,-21.262354909692416,-21.176632482281967,-21.955502090252356,-21.86977966284191
tam,fas,-15.838959008714141,-17.674990185974355,-16.532106189274085,-18.3681373665343
ibo,fas,-18.462164734553642,-18.443373417799272,-19.155311915113586,-19.13652059835922
nep,fas,-18.462164734553642,-18.443373417799272,-19.155311915113586,-19.13652059835922
tha,tgl,-21.88084941919015,-21.136455630916014,-22.573996599750096,-21.82960281147596
urd,tgl,-18.23824992155082,-19.206449997031726,-18.93139710211077,-19.899597177591673
tur,tgl,-17.796375447928543,-19.09466552337848,-18.489522628488487,-19.787812703938428
vie,tgl,-19.145791424323015,-20.620167402423526,-19.838938604882962,-21.31331458298347
yor,tgl,-17.995936754124685,-18.59328249154669,-18.68908393468463,-19.286429672106635
tgl,tel,-20.45738602187067,-18.301648359213765,-21.150533202430616,-18.99479553977371
tha,tel,-24.092338402352834,-20.16410662437251,-24.785485582912774,-20.85725380493246
urd,tel,-20.86938887015362,-18.040778981679193,-21.562536050713568,-18.733926162239136
tur,tel,-20.753436836861763,-17.563564073051722,-21.446584017421713,-18.25671125361167
vie,tel,-22.964246337208245,-19.738967465315227,-23.657393517768195,-20.43211464587517
yor,tel,-21.156667927434164,-18.214299885175446,-21.84981510799411,-18.907447065735393
urd,tha,-20.3592686060038,-20.704907058631793,-21.052415786563746,-21.39805423919174
tur,tha,-19.592346370060245,-20.478277671934027,-20.28549355062019,-21.171424852493974
vie,tha,-21.59734597694232,-22.196535064885555,-22.290493157502265,-22.8896822454455
yor,tha,-19.82500239005073,-20.14400490979222,-20.518149570610674,-20.837152090352166
vie,urd,-21.68949122061683,-19.280145760817483,-22.382638401176777,-19.97329294137743
yor,urd,-17.85650565938638,-17.4302809735115,-18.549652839946322,-18.123428154071448
fre,eng,-17.844233026598914,-16.00036548215699,-18.537380207158858,-16.693512662716934
por,eng,-18.598132589295034,-17.09372544908554,-19.291279769854977,-17.786872629645487
spa,eng,-18.85788195941636,-16.18873893648244,-19.551029139976304,-16.881886117042388
ger,eng,-19.728474741633065,-16.642221323907226,-20.42162192219301,-17.33536850446717
jpn,eng,-20.436931458242476,-17.33824600386416,-21.13007863880242,-18.031393184424104
ind,eng,-18.56189928942155,-16.878610324137004,-19.255046469981497,-17.571757504696947
mal,eng,-19.877663569323616,-17.523178028457096,-20.570810749883563,-18.216325209017043
pan,eng,-19.88489774145144,-17.534827460288305,-20.578044922011383,-18.22797464084825
fas,eng,-19.068085089584912,-17.560676247436373,-19.761232270144856,-18.25382342799632
tgl,eng,-17.442452355840665,-17.79438126737177,-18.135599536400612,-18.487528447931716
tel,eng,-19.63821217052093,-16.594754106867992,-20.331359351080874,-17.28790128742794
tha,eng,-19.14853711482622,-17.941262955299024,-19.841684295386166,-18.63441013585897
urd,eng,-19.707845431404326,-16.6200391958647,-20.400992611964273,-17.313186376424643
gre,eng,-17.92531899650454,-16.436125089662077,-18.61846617706448,-17.129272270222025
rus,eng,-18.7177170442249,-16.21775432644669,-19.410864224784845,-16.910901507006635
ita,eng,-19.724621201257353,-17.41238597910324,-20.4177683818173,-18.105533159663185
pol,eng,-18.645283689914393,-16.610735254797174,-19.33843087047434,-17.303882435357117
tur,eng,-20.2823122328423,-16.822415537885874,-20.975459413402245,-17.515562718445818
kor,eng,-19.512674901379594,-17.3185290228851,-20.205822081939537,-18.01167620344505
vie,eng,-21.393516856927672,-18.208911316047562,-22.086664037487616,-18.902058496607506
rum,eng,-18.779834503806647,-15.977830655824024,-19.472981684366594,-16.67097783638397
guj,eng,-19.560635983915706,-16.828324435278283,-20.25378316447565,-17.521471615838227
hin,eng,-19.741608964756484,-17.070705973065,-20.434756145316427,-17.763853153624947
yor,eng,-17.25572657758622,-16.948302571000802,-17.94887375814616,-17.641449751560746
mar,eng,-19.558150814986625,-17.49692839280134,-20.25129799554657,-18.190075573361288
kan,eng,-19.497448700355065,-19.416488086153723,-20.190595880915012,-20.109635266713667
tam,eng,-15.184402839972835,-17.306469302911154,-15.877550020532782,-17.999616483471097
ibo,eng,-16.946882587234054,-16.70987261690531,-17.640029767794,-17.403019797465255
nep,eng,-16.946882587234054,-16.70987261690531,-17.640029767794,-17.403019797465255
por,gre,-19.57539483167068,-18.45867909597531,-20.268542012230625,-19.151826276535257
spa,gre,-18.0406175650337,-18.06937760042864,-18.73376474559365,-18.762524780988585
jpn,gre,-20.28203161025256,-19.027885591300745,-20.975178790812507,-19.721032771860692
ind,gre,-19.30382566741109,-18.814234783907157,-19.996972847971033,-19.507381964467104
mal,gre,-20.85088938379066,-19.69775296087049,-21.544036564350606,-20.390900141430436
pan,gre,-20.36004412132076,-19.116849783819568,-21.053191301880705,-19.80999696437951
tgl,gre,-19.051396981639343,-19.563755592978886,-19.744544162199286,-20.25690277353883
tel,gre,-20.323361982052635,-18.19810002411997,-21.01650916261258,-18.891247204679914
tha,gre,-21.107299767276928,-20.512912670770255,-21.800446947836875,-21.206059851330203
urd,gre,-19.79435474977643,-18.354565255344376,-20.487501930336382,-19.047712435904323
rus,gre,-19.790059434468727,-19.18164037680255,-20.48320661502867,-19.8747875573625
ita,gre,-20.733607377884855,-19.712635701377256,-21.426754558444802,-20.405782881937203
pol,gre,-20.297443571760482,-19.692875878815407,-20.990590752320426,-20.38602305937535
tur,gre,-20.291564369710095,-19.526688419781692,-20.984711550270042,-20.21983560034164
kor,gre,-19.575597865460157,-19.024959010333994,-20.2687450460201,-19.71810619089394
vie,gre,-20.738899220905147,-20.11002866617275,-21.432046401465094,-20.803175846732696
rum,gre,-18.182262035602175,-18.871978282737437,-18.87540921616212,-19.56512546329738
guj,gre,-20.511842302688915,-18.221322866498276,-21.204989483248863,-18.914470047058224
hin,gre,-20.61155322276992,-18.844129395977024,-21.304700403329864,-19.53727657653697
yor,gre,-18.415132460005605,-17.862408899168894,-19.108279640565552,-18.555556079728838
mar,gre,-21.27273935390202,-19.209224885431887,-21.965886534461962,-19.90237206599183
kan,gre,-21.287018618301147,-21.275558936326014,-21.980165798861094,-21.968706116885958
tam,gre,-16.588227015882218,-18.38667959327552,-17.28137419644216,-19.079826773835467
ibo,gre,-18.79910791953857,-18.78092685238263,-19.492255100098518,-19.47407403294258
nep,gre,-18.79910791953857,-18.78092685238263,-19.492255100098518,-19.47407403294258
spa,rus,-18.09985939317633,-17.0080070003504,-18.793006573736278,-17.701154180910347
tgl,rus,-17.66133003051956,-18.388382941279904,-18.354477211079505,-19.081530121839847
tel,rus,-19.005062747804523,-17.193654964919297,-19.698209928364466,-17.886802145479244
tha,rus,-17.946869233188355,-18.472715618359402,-18.6400164137483,-19.165862798919346
