lang1_ETS,lang2_ETS,mean_tij_across_countries,mean_tij_across_countries_unweighted
fre,eng,249.5993333974181,317.864210286288
por,eng,262.19654748388183,276.20791186995984
spa,eng,245.75021200951448,301.0398739376387
ger,eng,196.13779642798656,288.34216858644965
gre,eng,247.21915273202058,286.65305980359204
hin,eng,258.61269397329517,284.5281674703496
ita,eng,210.9137491107227,274.1410767979507
jpn,eng,203.4680616352511,273.38423707013357
ind,eng,263.6906801860493,269.8692030933938
mal,eng,262.7416412978826,259.88498937168816
pan,eng,259.00129449822475,260.17517009708536
pol,eng,251.8338585530531,280.04375485803564
fas,eng,281.03640901498096,264.63401620541055
tgl,eng,319.45850668664104,240.50521119423004
tel,eng,266.8303663008931,276.1416111181076
tha,eng,245.4359421120532,239.96866172981143
tur,eng,251.69710190669798,283.5202582939585
urd,eng,257.8028781193821,286.6976981849428
rus,eng,249.88068600147415,304.4128778688461
kor,eng,213.3245959507723,286.37428961959756
rum,eng,238.67973198952046,299.76877792954616
vie,eng,216.5905397642274,257.4418996972753
guj,eng,261.81913647304305,289.6399754817416
yor,eng,386.1327054650149,275.3892836320712
tam,eng,387.6096761654916,363.395360538078
mar,eng,273.14974247465364,282.2068534247069
kan,eng,276.7446790997937,278.7897600251576
ibo,eng,395.11283395218703,398.63910629322424
nep,eng,395.11283395218703,398.63910629322424
por,fre,264.4481696949171,270.41236253006116
spa,fre,298.47905234886576,312.2964954941261
ger,fre,218.97683263500934,280.08809518303985
gre,fre,265.2710894418548,276.73958139312015
hin,fre,236.21345376934275,292.557276336359
ita,fre,208.49546447790235,261.297223168738
jpn,fre,259.6205785752626,286.93877945535843
ind,fre,262.48500904710176,267.3371100064396
mal,fre,229.03675836446607,263.2323444026505
pan,fre,229.16763474546684,268.4394233050952
pol,fre,268.90928461367173,283.783733539261
tgl,fre,351.06171655825125,259.8260368906302
tel,fre,227.49641064442525,275.09924336223406
tha,fre,237.41528916806112,244.93840467517884
tur,fre,240.31949175033694,272.07139485965826
urd,fre,247.6854267161781,292.9319897653055
rus,fre,292.46391659725145,294.89744966645674
kor,fre,265.0276152766911,295.60328142675206
rum,fre,291.86340568056204,308.37620699048625
vie,fre,237.55144280121868,258.7898271728769
guj,fre,242.6751686247015,312.4136264532169
yor,fre,302.34727255086636,258.8668982915223
tam,fre,400.43579529775764,347.2750342132666
mar,fre,227.74438986752457,297.51643189110666
kan,fre,226.3171281920121,226.6540232549032
ibo,fre,315.5614377208855,317.2478433180911
nep,fre,315.5614377208855,317.2478433180911
spa,por,217.53436368970463,255.9659148633468
tgl,por,272.2636164544529,216.55017085955078
tel,por,233.09651557161067,246.73134119103727
tha,por,208.1533494257923,213.06682620692604
tur,por,222.96171579319855,242.51980210027145
urd,por,248.72394582246193,249.72073970413663
rus,por,233.20972667286506,260.41255768753234
rum,por,248.2792022891205,264.0585364511824
vie,por,213.9411641215204,223.07142026797516
yor,por,328.6382721316683,250.51119364363873
tam,por,358.47396340835127,321.1227240751725
tgl,spa,314.4392494037372,227.36172210960092
tel,spa,253.05287234041012,296.75593802540686
tha,spa,228.26050421380558,233.56634220021493
tur,spa,267.7192647692151,264.34304421540105
urd,spa,275.2174363904716,295.8007593313162
vie,spa,239.06858750623968,239.13210990766325
yor,spa,398.51844900948333,271.0451832935844
tam,spa,450.5551792245118,390.52406178749726
eng,ara,276.5038668549636,328.6235466975541
fre,ara,307.28493055501224,315.7828725800435
por,ara,272.96205679425333,279.90282265515987
spa,ara,351.5871280313942,344.19562493741654
ben,ara,236.41086118517455,253.1508824886989
ger,ara,256.8516723995393,299.3406798237258
gre,ara,253.32129222894753,271.31320815935885
hin,ara,208.40722957818485,276.77244725135256
ita,ara,214.95181705343433,246.3666287767463
