lang1_ETS,lang2_ETS,eco_dist
ara,ara,0
ben,ara,2.3960769256498056
bul,ara,2.022945295313884
chi,ara,2.20746779508594
dut,ara,2.5761828104278304
eng,ara,2.678134543354966
fre,ara,2.5228772995881075
ger,ara,2.347302859022387
gre,ara,1.9911392005606317
guj,ara,2.2263510934159902
hin,ara,2.03748623820275
ibo,ara,4.232852074941647
ind,ara,5.074700690517346
ita,ara,2.2672012414539116
jpn,ara,2.1465729732767795
kan,ara,2.0895389147936716
kor,ara,2.1430546939495767
mal,ara,3.8939227796362044
mar,ara,1.9655806832649318
nep,ara,2.4807282686344454
pan,ara,1.1768583165596123
pol,ara,2.128463394086865
por,ara,1.8745036958689685
rum,ara,2.036822955866636
rus,ara,3.059286500572644
spa,ara,2.089362958670331
tgl,ara,3.599572964968218
tam,ara,2.254446062759455
tel,ara,1.9307019676329231
tha,ara,2.6582489870558526
tur,ara,1.8439184698157172
urd,ara,1.9032435015399671
vie,ara,2.0594707277303637
yor,ara,2.7267987427146325
fas,ara,1.0625004515860854
ara,ben,2.3960769256498056
ben,ben,0
bul,ben,3.082645462910283
chi,ben,3.467623459318933
dut,ben,2.913287599417613
eng,ben,3.0574164733800657
fre,ben,3.012900653340457
ger,ben,3.011540599637756
gre,ben,3.01185347359378
guj,ben,2.2330139072411264
hin,ben,2.058731292712532
ibo,ben,1.9067152745583846
ind,ben,2.798950190654515
ita,ben,2.7296780455217724
jpn,ben,2.3851008595488166
kan,ben,1.6857085694413767
kor,ben,2.9927589585107
mal,ben,1.5214504058684841
mar,ben,1.2364671873621953
nep,ben,1.1580654076525436
pan,ben,2.153938965212112
pol,ben,3.1824798840761948
por,ben,1.8549989558082802
rum,ben,3.0272903306957217
rus,ben,4.26278624050285
spa,ben,2.8861322695365508
tgl,ben,1.3640581687152658
tam,ben,1.396339909101632
tel,ben,1.4907002306294883
tha,ben,0.972149747621142
tur,ben,2.980653757965165
urd,ben,2.291879242246052
vie,ben,0.3751394218344977
yor,ben,1.188141837211303
fas,ben,2.591900939788105
ara,bul,2.022945295313884
ben,bul,3.082645462910283
bul,bul,0
chi,bul,2.8510814727040352
dut,bul,1.058787652812915
eng,bul,1.211661923479607
fre,bul,0.9653979038332978
ger,bul,0.6126739682834038
gre,bul,0.14210677300024052
guj,bul,3.8545790032803997
hin,bul,3.594969318852153
