lang,category_label,cluster
ar,animal,19
ar,geography,4
ar,health,24
ar,time,33
bg,animal,39
bg,democracy,30
bg,health,23
bg,human_development,34
bg,justice,44
bg,profession,15
bg,time,22
bn,animal,17
bn,body,22
bn,civic,23
bn,democracy,32
bn,food,15
bn,justice,42
bn,religion,48
bn,time,11
de,animal,13
de,body,18
de,civic,25
de,food,47
de,health,35
de,justice,7
de,profession,1
de,religion,41
de,time,16
el,animal,26
el,body,8
el,earth,31
el,food,3
el,health,33
el,human_development,21
el,profession,18
en,animal,50
en,body,24
en,civic,17
en,democracy,41
en,disaster,14
en,earth,3
en,food,35
en,geography,43
en,health,26
en,human_development,12
en,justice,46
en,profession,34
en,religion,1
en,time,33
es,animal,45
es,body,49
es,disaster,2
es,earth,26
es,geography,37
es,health,38
es,human_development,5
es,profession,39
es,time,33
fa,democracy,42
fa,disaster,47
fa,human_development,29
fa,religion,30
fa,time,44
fr,animal,49
fr,earth,10
fr,food,20
fr,geography,7
fr,health,29
fr,human_development,39
fr,justice,14
fr,profession,3
fr,religion,27
gu,animal,17
gu,body,2
gu,civic,8
gu,food,20
gu,health,15
gu,human_development,39
gu,justice,32
gu,religion,27
hi,animal,7
hi,civic,37
hi,food,20
hi,geography,40
hi,human_development,47
hi,religion,36
id,disaster,37
id,food,7
id,geography,44
id,health,33
id,human_development,31
id,profession,23
id,religion,13
id,time,11
it,animal,13
it,civic,9
it,democracy,49
it,earth,14
it,food,24
it,geography,50
it,human_development,5
it,justice,46
it,profession,19
kn,animal,8
kn,civic,2
kn,food,37
kn,health,38
kn,human_development,21
kn,justice,16
kn,religion,39
kn,time,34
ko,food,2
ko,health,21
ko,justice,5
ko,profession,49
ml,animal,42
ml,human_development,12
ml,justice,46
ml,religion,28
mr,animal,17
mr,body,22
mr,food,25
mr,health,15
mr,religion,48
ne,animal,28
ne,food,17
ne,human_development,20
ne,justice,31
nl,geography,38
nl,health,37
nl,justice,10
nl,profession,47
nl,religion,34
nl,time,12
pa,animal,22
pa,food,39
pa,justice,9
pa,profession,19
pa,religion,44
pl,animal,15
pl,body,32
pl,food,49
pl,human_development,24
pl,profession,8
pt,animal,49
pt,civic,39
pt,disaster,36
pt,food,20
pt,geography,9
pt,health,29
pt,human_development,36
pt,profession,3
pt,religion,27
ro,animal,13
ro,body,44
ro,disaster,42
ro,earth,39
ro,food,6
ro,geography,43
ro,health,35
ro,human_development,50
ro,justice,19
ro,profession,33
ro,religion,41
ru,animal,8
ru,earth,3
ru,food,35
ru,health,26
ru,profession,41
ru,religion,50
ta,animal,47
ta,civic,37
ta,disaster,45
ta,food,17
ta,health,31
ta,human_development,20
ta,justice,39
ta,profession,38
te,animal,22
te,civic,8
te,disaster,21
te,food,6
te,health,20
te,human_development,23
te,justice,9
te,profession,49
te,time,10
tl,animal,17
tl,body,22
tl,democracy,46
tl,food,20
tl,health,27
tl,human_development,4
tl,profession,47
tl,religion,5
tr,animal,25
tr,civic,8
tr,democracy,11
tr,food,21
tr,geography,38
tr,justice,42
tr,religion,4
ur,food,6
ur,human_development,41
ur,religion,13
zh,disaster,44
zh,food,37
zh,health,42
zh,justice,43
zh,profession,41
