lang,category_label,cluster
ar,animal,19
ar,army,47
ar,geography,4
ar,health,24
ar,literary,40
ar,music,39
ar,poltical_movements,47
ar,time,33
bg,animal,39
bg,army,38
bg,democracy,30
bg,health,23
bg,human_development,34
bg,justice,44
bg,king,8
bg,material,7
bg,media,12
bg,performance,36
bg,profession,15
bg,small_units,25
bg,structures,32
bg,time,22
bn,animal,17
bn,army,19
bn,body,22
bn,career,33
bn,civic,23
bn,democracy,32
bn,food,15
bn,justice,42
bn,material,15
bn,music,29
bn,religion,48
bn,time,11
bn,water,10
de,animal,13
de,army,36
de,body,18
de,career,10
de,civic,25
de,food,47
de,health,35
de,justice,7
de,king,22
de,music,26
de,profession,1
de,religion,41
de,size,46
de,time,16
el,animal,26
el,body,8
el,earth,31
el,food,3
el,health,33
el,human_development,21
el,king,39
el,material,3
el,profession,18
el,structures,27
en,animal,50
en,army,10
en,belief,38
en,body,24
en,career,9
en,civic,17
en,commerce,47
en,democracy,41
en,disaster,14
en,earth,3
en,food,35
en,geography,43
en,health,26
en,human_development,12
en,justice,46
en,king,48
en,letters,40
en,literary,6
en,machines,44
en,material,23
en,media,31
en,music,39
en,performance,36
en,plants,7
en,poltical_movements,5
en,profession,34
en,race,16
en,religion,1
en,size,42
en,small_units,25
en,structures,19
en,time,33
en,water,32
es,animal,45
es,army,21
es,body,49
es,disaster,2
es,earth,26
es,geography,37
es,health,38
es,human_development,5
es,king,32
es,literary,1
es,media,6
es,profession,39
es,small_units,35
es,time,33
fa,army,2
fa,democracy,42
fa,disaster,47
fa,human_development,29
fa,king,5
fa,material,49
fa,music,3
fa,religion,30
fa,size,11
fa,time,44
fr,animal,49
fr,army,2
fr,earth,10
fr,food,20
fr,geography,7
fr,health,29
fr,human_development,39
fr,justice,14
fr,king,37
fr,letters,41
fr,material,13
fr,performance,50
fr,plants,22
fr,profession,3
fr,religion,27
fr,small_units,18
fr,water,7
gu,animal,17
gu,army,11
gu,body,2
gu,civic,8
gu,commerce,3
gu,food,20
gu,health,15
gu,human_development,39
gu,justice,32
gu,king,25
gu,letters,48
gu,music,22
gu,religion,27
hi,animal,7
hi,career,50
hi,civic,37
hi,commerce,18
hi,food,20
hi,geography,40
hi,human_development,47
hi,king,9
hi,material,20
hi,music,29
hi,plants,14
hi,religion,36
hi,structures,6
id,army,9
id,disaster,37
id,food,7
id,geography,44
id,health,33
id,human_development,31
id,letters,29
id,music,32
id,performance,49
id,profession,23
id,religion,13
id,size,21
id,small_units,35
id,structures,40
id,time,11
it,animal,13
it,army,42
it,career,48
it,civic,9
it,democracy,49
it,earth,14
it,food,24
it,geography,50
it,human_development,5
it,justice,46
it,king,29
it,material,24
it,media,28
it,poltical_movements,3
it,profession,19
it,small_units,45
kn,animal,8
kn,civic,2
kn,food,37
kn,health,38
kn,human_development,21
kn,justice,16
kn,religion,39
kn,time,34
kn,water,32
ko,army,1
ko,food,2
ko,health,21
ko,justice,5
ko,music,4
ko,performance,41
ko,profession,49
ko,structures,48
ko,water,31
ml,animal,42
ml,human_development,12
ml,justice,46
ml,machines,44
ml,material,23
ml,plants,7
ml,religion,28
ml,size,15
ml,small_units,26
mr,animal,17
mr,body,22
mr,food,25
mr,health,15
mr,media,31
mr,music,47
mr,religion,48
ne,animal,28
ne,food,17
ne,human_development,20
ne,justice,31
ne,king,49
ne,plants,7
nl,army,4
nl,geography,38
nl,health,37
nl,justice,10
nl,king,45
nl,machines,14
nl,material,49
nl,performance,6
nl,poltical_movements,4
nl,profession,47
nl,religion,34
nl,small_units,50
nl,time,12
pa,animal,22
pa,food,39
pa,justice,9
pa,profession,19
pa,race,15
pa,religion,44
pl,animal,15
pl,body,32
pl,food,49
pl,human_development,24
pl,king,33
pl,material,49
pl,plants,36
pl,profession,8
pl,small_units,2
pl,structures,12
pl,water,34
pt,animal,49
pt,army,21
pt,civic,39
pt,disaster,36
pt,food,20
pt,geography,9
pt,health,29
pt,human_development,36
pt,king,23
pt,literary,15
pt,music,31
pt,poltical_movements,37
pt,profession,3
pt,religion,27
pt,small_units,18
ro,animal,13
ro,army,32
ro,body,44
ro,career,36
ro,disaster,42
ro,earth,39
ro,food,6
ro,geography,43
ro,health,35
ro,human_development,50
ro,justice,19
ro,king,34
ro,material,6
ro,plants,6
ro,profession,33
ro,religion,41
ro,small_units,20
ru,animal,8
ru,army,33
ru,earth,3
ru,food,35
ru,health,26
ru,king,29
ru,letters,38
ru,literary,27
ru,material,35
ru,media,31
ru,profession,41
ru,religion,50
ru,structures,19
ta,animal,47
ta,civic,37
ta,disaster,45
ta,food,17
ta,health,31
ta,human_development,20
ta,justice,39
ta,letters,26
ta,material,17
ta,media,12
ta,profession,38
ta,small_units,7
te,animal,22
te,army,42
te,career,10
te,civic,8
te,disaster,21
te,food,6
te,health,20
te,human_development,23
te,justice,9
te,king,50
te,material,6
te,music,15
te,profession,49
te,time,10
te,water,5
tl,animal,17
tl,body,22
tl,career,19
tl,democracy,46
tl,food,20
tl,health,27
tl,human_development,4
tl,king,48
tl,performance,28
tl,plants,13
tl,profession,47
tl,religion,5
tr,animal,25
tr,army,28
tr,career,17
tr,civic,8
tr,democracy,11
tr,food,21
tr,geography,38
tr,justice,42
tr,king,7
tr,literary,19
tr,material,21
tr,music,9
tr,plants,21
tr,religion,4
tr,small_units,37
ur,belief,11
ur,food,6
ur,human_development,41
ur,king,33
ur,religion,13
zh,disaster,44
zh,food,37
zh,health,42
zh,justice,43
zh,king,11
zh,profession,41
zh,small_units,1
