word,n,conc_tile
ability,35,2
able,35,4
about,35,1
above,35,7
abroad,35,5
absolutely,35,2
academic,35,3
accept,35,6
accepted,35,4
access,35,5
accomplish,35,4
according,35,1
account,35,6
accuracy,35,2
accurate,35,2
achieve,35,4
acquire,35,6
across,35,6
act,35,4
action,35,5
active,35,7
activity,35,5
actual,35,3
actually,35,1
adapt,35,4
add,35,6
addicted,35,3
addition,35,6
additionally,35,3
adult,35,9
adulthood,35,4
advance,35,5
advanced,35,2
advancement,35,3
advantage,35,2
advent,35,4
advertise,35,5
advertisement,35,8
advertising,35,8
advice,35,5
advise,35,3
affect,35,2
affected,35,2
afford,35,2
afraid,35,5
after,35,3
again,35,2
against,35,2
age,35,5
aged,35,6
ago,35,1
agree,35,4
ahead,35,6
aid,35,6
aim,35,7
air,35,8
all,35,4
allow,35,4
almost,35,1
alone,35,5
along,35,3
already,35,1
also,35,2
alternative,35,4
although,35,1
always,35,1
am,35,2
among,35,4
amount,35,5
an,35,1
analysis,35,5
ancient,35,3
and,35,1
another,35,5
answer,35,6
any,35,1
anybody,35,5
anymore,35,3
anyone,35,5
anything,35,1
anywhere,35,3
apart,35,6
appear,35,6
apply,35,4
appreciate,35,3
approach,35,5
appropriate,35,2
are,35,2
area,35,8
argue,35,5
argument,35,5
around,35,2
art,35,9
arts,35,8
as,35,1
ask,35,4
aspect,35,2
assigned,35,1
assignment,35,8
associated,35,3
at,35,3
atmosphere,35,6
attend,35,6
attention,35,4
attitude,35,2
attract,35,5
attractive,35,5
automobile,35,10
available,35,3
average,35,4
avoid,35,4
aware,35,2
awareness,35,2
away,35,3
back,35,9
background,35,7
bad,35,1
balance,35,6
bank,35,10
base,35,8
based,35,2
basic,35,4
basically,35,1
basis,35,2
be,35,2
beautiful,35,3
because,35,1
become,35,1
becomes,35,1
becoming,35,1
been,35,2
before,35,2
begin,35,5
beginning,35,4
behave,35,1
behavior,35,3
behind,35,7
being,35,2
belief,35,1
believe,35,1
belong,35,1
below,35,7
beneficial,35,1
benefit,35,3
besides,35,3
best,35,1
better,35,2
between,35,5
beyond,35,1
biased,35,1
big,35,7
bigger,35,7
biggest,35,6
bill,35,10
biology,35,7
bit,35,7
body,35,10
book,35,10
boring,35,3
born,35,6
boss,35,8
both,35,6
bought,35,6
boy,35,10
brain,35,10
brand,35,7
break,35,8
bright,35,8
bring,35,5
broad,35,4
brother,35,9
brought,35,3
