"Var1","Var2","value"
"Herero","Herero",0
"Zulu","Herero",0.526666666666667
"Tswana","Herero",0.713333333333333
"Shona","Herero",0.718333333333333
"Ndonga","Herero",0.72
"Swati","Herero",0.511666666666667
"Tsonga","Herero",0.695
"Venda","Herero",0.71
"Kongo","Herero",0.873333333333333
"Tumbuka","Herero",0.873333333333333
"Kikuyu","Herero",0.678333333333333
"Luganda","Herero",0.541666666666667
"Kinyarwanda","Herero",0.546666666666667
"Lingala","Herero",0.881666666666666
"Kirundi","Herero",0.545
"Igbo","Herero",0.701666666666666
"Bambara","Herero",0.706666666666667
"Tigrinya","Herero",0.741666666666667
"Afar","Herero",0.706666666666667
"Amharic","Herero",0.758333333333333
"Kanuri","Herero",0.715
"Wolof","Herero",0.738333333333334
"Egyptian Arabic","Herero",0.746666666666667
"Kabyle","Herero",0.723333333333333
"Latin","Herero",0.758333333333333
"Neapolitan","Herero",0.83
"Spanish","Herero",0.763333333333333
"English","Herero",0.776666666666667
"French","Herero",0.761666666666667
"Dutch","Herero",0.765
"Icelandic","Herero",0.743333333333333
"Irish","Herero",0.771666666666667
"Serbian","Herero",0.77
"Russian","Herero",0.83
"Bashkir","Herero",0.991666666666667
"Chuvash","Herero",0.888333333333333
"Erzya","Herero",0.706666666666667
"Estonian","Herero",0.788333333333333
"Gagauz","Herero",0.786666666666667
"Latvian","Herero",0.83
"Vepsian","Herero",0.721666666666667
"Czech","Herero",0.758333333333334
"Meadow Mari","Herero",0.758333333333334
"Bulgarian","Herero",0.738333333333333
"Belarusian","Herero",0.753333333333333
"Hungarian","Herero",0.741666666666667
"Lithuanian","Herero",0.743333333333333
"Kalmyk","Herero",0.731666666666667
"Armenian","Herero",0.751666666666667
"Kurdish (Sorani)","Herero",0.825
"Abkhazian","Herero",0.718333333333334
"Kabardian","Herero",0.741666666666667
"Turkish","Herero",0.761666666666667
"Ossetian","Herero",0.728333333333333
"Hebrew","Herero",0.575
"Sindhi","Herero",0.743333333333333
"Eastern Punjabi","Herero",0.663333333333333
"Kazakh","Herero",0.968333333333333
"Sakha","Herero",0.585
"Korean","Herero",0.721666666666667
"Chinese","Herero",0.753333333333333
"Nuosu","Herero",0.745
"Japanese","Herero",0.721666666666667
"Tibetan","Herero",0.763333333333334
"Bengali","Herero",0.706666666666667
"Kashmiri","Herero",0.758333333333334
"Gujarati","Herero",0.77
"Telugu","Herero",0.83
"Tamil","Herero",0.773333333333333
"Malayalam","Herero",0.706666666666667
"Sinhalese","Herero",0.815
"Burmese","Herero",0.766666666666667
"Vietnamese","Herero",0.83
"Khmer","Herero",0.763333333333333
"Malay","Herero",0.733333333333333
"Thai","Herero",0.721666666666667
"Cebuano","Herero",0.756666666666667
"Banyumasan","Herero",0.728333333333333
"Minangkabau","Herero",0.72
"Tetum","Herero",0.736666666666667
"Nauruan","Herero",0.835
"Chamorro","Herero",0.721666666666667
"Samoan","Herero",0.891666666666667
"Tongan","Herero",0.878333333333333
"Maori","Herero",0.886666666666666
"Hawaiian","Herero",0.888333333333333
"Tahitian","Herero",0.883333333333333
"Inupiak","Herero",0.768333333333333
"Cheyenne","Herero",0.758333333333333
"Choctaw","Herero",0.865
"Muscogee","Herero",0.845
"Cherokee","Herero",0.935
"Navajo","Herero",0.756666666666667
"Haitian","Herero",0.746666666666667
"Aymara","Herero",0.746666666666667
"Guarani","Herero",0.901666666666666
"Herero","Zulu",0.526666666666667
"Zulu","Zulu",0
"Tswana","Zulu",0.34
"Shona","Zulu",0.346666666666666
"Ndonga","Zulu",0.351666666666667
"Swati","Zulu",0.0883333333333334
"Tsonga","Zulu",0.301666666666667
"Venda","Zulu",0.326666666666667
"Kongo","Zulu",0.679999999999999
"Tumbuka","Zulu",0.495
"Kikuyu","Zulu",0.421666666666667
"Luganda","Zulu",0.315
"Kinyarwanda","Zulu",0.151666666666667
"Lingala","Zulu",0.673333333333333
"Kirundi","Zulu",0.33
"Igbo","Zulu",0.496666666666667
"Bambara","Zulu",0.506666666666666
"Tigrinya","Zulu",0.353333333333333
"Afar","Zulu",0.506666666666666
"Amharic","Zulu",0.418333333333333
"Kanuri","Zulu",0.34
"Wolof","Zulu",0.391666666666667
"Egyptian Arabic","Zulu",0.575
"Kabyle","Zulu",0.551666666666666
"Latin","Zulu",0.451666666666667
"Neapolitan","Zulu",0.664999999999999
"Spanish","Zulu",0.581666666666666
"English","Zulu",0.593333333333333
"French","Zulu",0.57
"Dutch","Zulu",0.578333333333333
"Icelandic","Zulu",0.543333333333333
"Irish","Zulu",0.586666666666666
"Serbian","Zulu",0.568333333333333
"Russian","Zulu",0.49
"Bashkir","Zulu",0.831666666666666
"Chuvash","Zulu",0.51
"Erzya","Zulu",0.506666666666666
"Estonian","Zulu",0.425
"Gagauz","Zulu",0.401666666666667
"Latvian","Zulu",0.656666666666666
"Vepsian","Zulu",0.51
"Czech","Zulu",0.526666666666666
"Meadow Mari","Zulu",0.38
"Bulgarian","Zulu",0.558333333333333
"Belarusian","Zulu",0.56
"Hungarian","Zulu",0.471666666666667
"Lithuanian","Zulu",0.506666666666667
"Kalmyk","Zulu",0.588333333333333
"Armenian","Zulu",0.566666666666666
"Kurdish (Sorani)","Zulu",0.664999999999999
"Abkhazian","Zulu",0.38
"Kabardian","Zulu",0.38
"Turkish","Zulu",0.453333333333333
"Ossetian","Zulu",0.548333333333333
"Hebrew","Zulu",0.578333333333333
