"Var1","Var2","value"
"Herero","Herero",0
"Zulu","Herero",0.4925
"Tswana","Herero",0.500681818181818
"Shona","Herero",0.502272727272727
"Ndonga","Herero",0.448181818181818
"Swati","Herero",0.434772727272727
"Tsonga","Herero",0.540454545454546
"Venda","Herero",0.417272727272727
"Kongo","Herero",0.505
"Tumbuka","Herero",0.548409090909092
"Kikuyu","Herero",0.418863636363636
"Luganda","Herero",0.58159090909091
"Kinyarwanda","Herero",0.559772727272728
"Lingala","Herero",0.532272727272728
"Kirundi","Herero",0.654318181818181
"Igbo","Herero",0.564545454545455
"Bambara","Herero",0.622272727272727
"Tigrinya","Herero",0.582954545454546
"Afar","Herero",0.440681818181818
"Amharic","Herero",0.676136363636363
"Kanuri","Herero",0.534545454545455
"Wolof","Herero",0.595909090909092
"Egyptian Arabic","Herero",0.779772727272728
"Kabyle","Herero",0.577272727272728
"Latin","Herero",0.683181818181818
"Neapolitan","Herero",0.719318181818182
"Spanish","Herero",0.703863636363636
"English","Herero",0.763636363636363
"French","Herero",0.733181818181818
"Dutch","Herero",0.809090909090909
"Icelandic","Herero",0.653181818181818
"Irish","Herero",0.642954545454545
"Serbian","Herero",0.665227272727272
"Russian","Herero",0.656590909090909
"Bashkir","Herero",0.716818181818182
"Chuvash","Herero",0.732272727272727
"Erzya","Herero",0.700681818181818
"Estonian","Herero",0.653636363636363
"Gagauz","Herero",0.673863636363636
"Latvian","Herero",0.717727272727273
"Vepsian","Herero",0.644999999999999
"Czech","Herero",0.695454545454545
"Meadow Mari","Herero",0.643409090909091
"Bulgarian","Herero",0.659318181818181
"Belarusian","Herero",0.666818181818181
"Hungarian","Herero",0.705681818181818
"Lithuanian","Herero",0.709090909090909
"Kalmyk","Herero",0.426363636363636
"Armenian","Herero",0.539545454545455
"Kurdish (Sorani)","Herero",0.650681818181817
"Abkhazian","Herero",0.500454545454545
"Kabardian","Herero",0.550681818181819
"Turkish","Herero",0.697954545454545
"Ossetian","Herero",0.551818181818182
"Hebrew","Herero",0.716590909090909
"Sindhi","Herero",0.707045454545454
"Eastern Punjabi","Herero",0.737727272727273
"Kazakh","Herero",0.451590909090909
"Sakha","Herero",0.563181818181819
"Korean","Herero",0.685227272727272
"Chinese","Herero",0.765227272727273
"Nuosu","Herero",0.535681818181819
"Japanese","Herero",0.765454545454545
"Tibetan","Herero",0.715454545454545
"Bengali","Herero",0.830454545454546
"Kashmiri","Herero",0.706136363636363
"Gujarati","Herero",0.774545454545455
"Telugu","Herero",0.744090909090909
"Tamil","Herero",0.778181818181818
"Malayalam","Herero",0.695681818181818
"Sinhalese","Herero",0.711818181818182
"Burmese","Herero",0.750909090909091
"Vietnamese","Herero",0.742045454545455
"Khmer","Herero",0.66840909090909
"Malay","Herero",0.67090909090909
"Thai","Herero",0.643409090909091
"Cebuano","Herero",0.702272727272727
"Banyumasan","Herero",0.64590909090909
"Minangkabau","Herero",0.589090909090909
"Tetum","Herero",0.554545454545455
"Nauruan","Herero",0.7275
"Chamorro","Herero",0.713863636363636
"Samoan","Herero",0.754772727272727
"Tongan","Herero",0.716818181818181
"Maori","Herero",0.766136363636364
"Hawaiian","Herero",0.68340909090909
"Tahitian","Herero",0.747954545454545
"Inupiak","Herero",0.460454545454545
"Cheyenne","Herero",0.493636363636364
"Choctaw","Herero",0.66090909090909
"Muscogee","Herero",0.710681818181818
"Cherokee","Herero",0.657727272727272
"Navajo","Herero",0.438181818181818
"Haitian","Herero",0.670454545454545
"Aymara","Herero",0.685454545454545
"Guarani","Herero",0.590227272727273
"Herero","Zulu",0.4925
"Zulu","Zulu",0
"Tswana","Zulu",0.164772727272727
"Shona","Zulu",0.316136363636364
"Ndonga","Zulu",0.424772727272727
"Swati","Zulu",0.217045454545455
"Tsonga","Zulu",0.262727272727273
"Venda","Zulu",0.424772727272727
"Kongo","Zulu",0.426590909090909
"Tumbuka","Zulu",0.334545454545455
"Kikuyu","Zulu",0.2475
"Luganda","Zulu",0.355681818181818
"Kinyarwanda","Zulu",0.357954545454546
"Lingala","Zulu",0.345909090909091
"Kirundi","Zulu",0.447727272727272
"Igbo","Zulu",0.384090909090909
"Bambara","Zulu",0.543409090909092
"Tigrinya","Zulu",0.542272727272728
"Afar","Zulu",0.555
"Amharic","Zulu",0.584772727272728
"Kanuri","Zulu",0.523409090909091
"Wolof","Zulu",0.560227272727273
"Egyptian Arabic","Zulu",0.669772727272726
"Kabyle","Zulu",0.501590909090909
"Latin","Zulu",0.582045454545455
"Neapolitan","Zulu",0.515681818181818
"Spanish","Zulu",0.500454545454545
"English","Zulu",0.560227272727273
"French","Zulu",0.561136363636364
"Dutch","Zulu",0.651136363636363
"Icelandic","Zulu",0.441363636363636
"Irish","Zulu",0.372954545454545
"Serbian","Zulu",0.430909090909091
"Russian","Zulu",0.588181818181819
"Bashkir","Zulu",0.562272727272728
"Chuvash","Zulu",0.655227272727272
"Erzya","Zulu",0.610909090909092
"Estonian","Zulu",0.515681818181818
"Gagauz","Zulu",0.609772727272729
"Latvian","Zulu",0.62840909090909
"Vepsian","Zulu",0.565681818181819
"Czech","Zulu",0.469318181818181
"Meadow Mari","Zulu",0.504090909090909
