"Var1","Var2","value"
"Herero","Herero",0
"Zulu","Herero",0.41
"Tswana","Herero",0.621818181818181
"Shona","Herero",0.641818181818182
"Ndonga","Herero",0.634545454545454
"Swati","Herero",0.404545454545454
"Tsonga","Herero",0.61
"Venda","Herero",0.629090909090909
"Kongo","Herero",0.774545454545454
"Tumbuka","Herero",0.629090909090909
"Kikuyu","Herero",0.677272727272727
"Luganda","Herero",0.439090909090909
"Kinyarwanda","Herero",0.453636363636364
"Lingala","Herero",0.779090909090909
"Kirundi","Herero",0.432727272727273
"Igbo","Herero",0.72090909090909
"Bambara","Herero",0.692727272727273
"Tigrinya","Herero",0.650909090909091
"Afar","Herero",0.509090909090909
"Amharic","Herero",0.684545454545455
"Kanuri","Herero",0.606363636363636
"Wolof","Herero",0.640909090909091
"Egyptian Arabic","Herero",0.752727272727272
"Kabyle","Herero",0.73
"Latin","Herero",0.919999999999999
"Neapolitan","Herero",0.874545454545454
"Spanish","Herero",0.879999999999999
"English","Herero",0.903636363636363
"French","Herero",0.864545454545454
"Dutch","Herero",0.889999999999999
"Icelandic","Herero",0.822727272727272
"Irish","Herero",0.769090909090909
"Serbian","Herero",0.889999999999999
"Russian","Herero",0.847272727272726
"Bashkir","Herero",0.787272727272727
"Chuvash","Herero",0.726363636363636
"Erzya","Herero",0.809090909090909
"Estonian","Herero",0.771818181818181
"Gagauz","Herero",0.818181818181818
"Latvian","Herero",0.785454545454545
"Vepsian","Herero",0.807272727272726
"Czech","Herero",0.771818181818182
"Meadow Mari","Herero",0.752727272727273
"Bulgarian","Herero",0.749090909090909
"Belarusian","Herero",0.779090909090909
"Hungarian","Herero",0.761818181818181
"Lithuanian","Herero",0.748181818181818
"Kalmyk","Herero",0.646363636363636
"Armenian","Herero",0.746363636363636
"Kurdish (Sorani)","Herero",0.772727272727272
"Abkhazian","Herero",0.720909090909091
"Kabardian","Herero",0.753636363636363
"Turkish","Herero",0.760909090909091
"Ossetian","Herero",0.734545454545455
"Hebrew","Herero",0.664545454545454
"Sindhi","Herero",0.735454545454545
"Eastern Punjabi","Herero",0.732727272727273
"Kazakh","Herero",0.717272727272728
"Sakha","Herero",0.717272727272727
"Korean","Herero",0.929090909090908
"Chinese","Herero",0.756363636363636
"Nuosu","Herero",0.737272727272727
"Japanese","Herero",0.798181818181818
"Tibetan","Herero",0.771818181818182
"Bengali","Herero",0.870909090909091
"Kashmiri","Herero",0.874545454545454
"Gujarati","Herero",0.768181818181818
"Telugu","Herero",0.775454545454545
"Tamil","Herero",0.779090909090909
"Malayalam","Herero",0.870909090909091
"Sinhalese","Herero",0.767272727272727
"Burmese","Herero",0.853636363636363
"Vietnamese","Herero",0.978181818181818
"Khmer","Herero",0.856363636363636
"Malay","Herero",0.829090909090908
"Thai","Herero",0.873636363636363
"Cebuano","Herero",0.881818181818181
"Banyumasan","Herero",0.752727272727273
"Minangkabau","Herero",0.818181818181818
"Tetum","Herero",0.760909090909091
"Nauruan","Herero",0.720909090909091
"Chamorro","Herero",0.856363636363636
"Samoan","Herero",0.859999999999999
"Tongan","Herero",0.819999999999999
"Maori","Herero",0.750909090909091
"Hawaiian","Herero",0.889090909090908
"Tahitian","Herero",0.755454545454545
