"Var1","Var2","value"
"Herero","Herero",0
"Zulu","Herero",0.589333333333333
"Tswana","Herero",0.538666666666667
"Shona","Herero",0.615333333333333
"Ndonga","Herero",0.53
"Swati","Herero",0.448
"Tsonga","Herero",0.654
"Venda","Herero",0.68
"Kongo","Herero",0.724666666666666
"Tumbuka","Herero",0.666
"Kikuyu","Herero",0.532
"Luganda","Herero",0.608
"Kinyarwanda","Herero",0.641333333333333
"Lingala","Herero",0.666666666666666
"Kirundi","Herero",0.741333333333333
"Igbo","Herero",0.657333333333333
"Bambara","Herero",0.725333333333333
"Tigrinya","Herero",0.606666666666667
"Afar","Herero",0.625333333333333
"Amharic","Herero",0.654666666666667
"Kanuri","Herero",0.624666666666667
"Wolof","Herero",0.65
"Egyptian Arabic","Herero",0.796666666666665
"Kabyle","Herero",0.581333333333334
"Latin","Herero",0.696666666666666
"Neapolitan","Herero",0.828666666666666
"Spanish","Herero",0.736666666666666
"English","Herero",0.827333333333332
"French","Herero",0.781999999999999
"Dutch","Herero",0.892666666666666
"Icelandic","Herero",0.754666666666666
"Irish","Herero",0.694666666666667
"Serbian","Herero",0.730666666666667
"Russian","Herero",0.780666666666667
"Bashkir","Herero",0.701333333333333
"Chuvash","Herero",0.79
"Erzya","Herero",0.824666666666666
"Estonian","Herero",0.572666666666667
"Gagauz","Herero",0.825999999999999
"Latvian","Herero",0.734
"Vepsian","Herero",0.766
"Czech","Herero",0.741333333333333
"Meadow Mari","Herero",0.711333333333333
"Bulgarian","Herero",0.742
"Belarusian","Herero",0.698666666666666
"Hungarian","Herero",0.762666666666666
"Lithuanian","Herero",0.768
"Kalmyk","Herero",0.569333333333333
"Armenian","Herero",0.608666666666667
"Kurdish (Sorani)","Herero",0.702
"Abkhazian","Herero",0.69
"Kabardian","Herero",0.578
"Turkish","Herero",0.636
"Ossetian","Herero",0.691333333333333
"Hebrew","Herero",0.723333333333333
"Sindhi","Herero",0.602
"Eastern Punjabi","Herero",0.749333333333333
"Kazakh","Herero",0.593333333333333
"Sakha","Herero",0.728666666666666
"Korean","Herero",0.821333333333333
"Chinese","Herero",0.836666666666666
"Nuosu","Herero",0.62
"Japanese","Herero",0.841999999999999
"Tibetan","Herero",0.797333333333333
"Bengali","Herero",0.890666666666666
"Kashmiri","Herero",0.811333333333332
"Gujarati","Herero",0.802666666666666
"Telugu","Herero",0.720666666666666
"Tamil","Herero",0.775333333333333
"Malayalam","Herero",0.714
"Sinhalese","Herero",0.753333333333333
"Burmese","Herero",0.793333333333333
"Vietnamese","Herero",0.748666666666666
"Khmer","Herero",0.745333333333333
"Malay","Herero",0.689333333333333
"Thai","Herero",0.695333333333333
"Cebuano","Herero",0.75
"Banyumasan","Herero",0.674666666666667
"Minangkabau","Herero",0.646
"Tetum","Herero",0.698
"Nauruan","Herero",0.780666666666666
"Chamorro","Herero",0.773333333333333
"Samoan","Herero",0.782666666666666
"Tongan","Herero",0.802666666666666
"Maori","Herero",0.869333333333332
"Hawaiian","Herero",0.836666666666666
"Tahitian","Herero",0.839999999999998
"Inupiak","Herero",0.685333333333333
"Cheyenne","Herero",0.61
"Choctaw","Herero",0.754666666666666
"Muscogee","Herero",0.782666666666666
"Cherokee","Herero",0.749333333333333
"Navajo","Herero",0.450666666666667
"Haitian","Herero",0.776666666666666
"Aymara","Herero",0.766666666666666
"Guarani","Herero",0.626666666666667
"Herero","Zulu",0.589333333333333
"Zulu","Zulu",0
"Tswana","Zulu",0.278666666666666
"Shona","Zulu",0.469333333333333
"Ndonga","Zulu",0.574
"Swati","Zulu",0.435333333333333
"Tsonga","Zulu",0.412666666666666
"Venda","Zulu",0.578666666666667
"Kongo","Zulu",0.592666666666667
"Tumbuka","Zulu",0.461333333333333
"Kikuyu","Zulu",0.306666666666666
"Luganda","Zulu",0.292
"Kinyarwanda","Zulu",0.304666666666666
"Lingala","Zulu",0.516
"Kirundi","Zulu",0.506666666666667
"Igbo","Zulu",0.436666666666666
"Bambara","Zulu",0.635333333333333
"Tigrinya","Zulu",0.616
"Afar","Zulu",0.71
"Amharic","Zulu",0.556666666666667
"Kanuri","Zulu",0.618
"Wolof","Zulu",0.558666666666667
"Egyptian Arabic","Zulu",0.718666666666667
"Kabyle","Zulu",0.630666666666667
"Latin","Zulu",0.504
"Neapolitan","Zulu",0.588000000000001
"Spanish","Zulu",0.511333333333333
"English","Zulu",0.517333333333333
"French","Zulu",0.687333333333333
"Dutch","Zulu",0.718
"Icelandic","Zulu",0.444
"Irish","Zulu",0.552
"Serbian","Zulu",0.571333333333334
"Russian","Zulu",0.717333333333333
"Bashkir","Zulu",0.772666666666666
"Chuvash","Zulu",0.714666666666667
"Erzya","Zulu",0.709333333333334
"Estonian","Zulu",0.574666666666667
"Gagauz","Zulu",0.725333333333334
"Latvian","Zulu",0.638
"Vepsian","Zulu",0.520666666666666
"Czech","Zulu",0.576666666666667
"Meadow Mari","Zulu",0.596
"Bulgarian","Zulu",0.648
"Belarusian","Zulu",0.665333333333333
"Hungarian","Zulu",0.623333333333333
"Lithuanian","Zulu",0.692
"Kalmyk","Zulu",0.656
"Armenian","Zulu",0.47
"Kurdish (Sorani)","Zulu",0.642666666666666
"Abkhazian","Zulu",0.75
"Kabardian","Zulu",0.512
"Turkish","Zulu",0.642
"Ossetian","Zulu",0.537333333333333
"Hebrew","Zulu",0.573333333333334
"Sindhi","Zulu",0.606666666666667
"Eastern Punjabi","Zulu",0.655333333333333
"Kazakh","Zulu",0.712
"Sakha","Zulu",0.561333333333334
"Korean","Zulu",0.579333333333334
"Chinese","Zulu",0.625333333333333
"Nuosu","Zulu",0.554
"Japanese","Zulu",0.68
"Tibetan","Zulu",0.651333333333333
"Bengali","Zulu",0.654666666666666
"Kashmiri","Zulu",0.650666666666666
"Gujarati","Zulu",0.642
"Telugu","Zulu",0.557333333333334
"Tamil","Zulu",0.54
"Malayalam","Zulu",0.576
"Sinhalese","Zulu",0.619333333333333
"Burmese","Zulu",0.482
"Vietnamese","Zulu",0.563333333333333
"Khmer","Zulu",0.639333333333334
"Malay","Zulu",0.662
"Thai","Zulu",0.525333333333334
"Cebuano","Zulu",0.526
"Banyumasan","Zulu",0.706666666666667
"Minangkabau","Zulu",0.733333333333333
"Tetum","Zulu",0.739333333333333
"Nauruan","Zulu",0.646666666666667
"Chamorro","Zulu",0.559333333333334
"Samoan","Zulu",0.679333333333333
"Tongan","Zulu",0.641333333333333
"Maori","Zulu",0.708666666666667
"Hawaiian","Zulu",0.71
"Tahitian","Zulu",0.7
"Inupiak","Zulu",0.704666666666667
"Cheyenne","Zulu",0.562666666666667
"Choctaw","Zulu",0.553333333333334
"Muscogee","Zulu",0.581333333333334
"Cherokee","Zulu",0.539333333333333
"Navajo","Zulu",0.510666666666667
"Haitian","Zulu",0.540666666666667
"Aymara","Zulu",0.520666666666666
"Guarani","Zulu",0.626
"Herero","Tswana",0.538666666666667
"Zulu","Tswana",0.278666666666666
"Tswana","Tswana",0
"Shona","Tswana",0.505333333333333
"Ndonga","Tswana",0.553333333333333
"Swati","Tswana",0.445333333333333
"Tsonga","Tswana",0.561333333333333
"Venda","Tswana",0.456
"Kongo","Tswana",0.641333333333333
"Tumbuka","Tswana",0.572
"Kikuyu","Tswana",0.178666666666666
"Luganda","Tswana",0.427999999999999
"Kinyarwanda","Tswana",0.494666666666667
"Lingala","Tswana",0.552666666666667
"Kirundi","Tswana",0.654666666666666
"Igbo","Tswana",0.358
"Bambara","Tswana",0.71
"Tigrinya","Tswana",0.595333333333333
"Afar","Tswana",0.71
"Amharic","Tswana",0.642
"Kanuri","Tswana",0.631333333333333
