iso,ETS_lang_name,lang_name2,asjp_code,wals_code
arb,ara,Standard Arabic,arz,ams
ben,ben,Bengali,ben,ben
bul,bul,Bulgarian,bul,bul
cmn,chi,Mandarin Chinese,cmn,mnd
nld,dut,Dutch,nld,dut
eng,eng,English,eng,eng
fra,fre,French,fra,fre
deu,ger,German,deu,ger
ell,gre,Modern Greek,ell,grk
guj,guj,Gujarati,guj,guj
hin,hin,Hindi,hin,hin
ibo,ibo,Igbo,ibo,igb
ind,ind,Indonesian,ind,ind
ita,ita,Italian,ita,ita
jpn,jpn,Japanese,jpn,jpn
kan,kan,Kannada,kan,knd
kor,kor,Korean,kor,kor
mal,mal,Malayalam,mal,mym
mar,mar,Marathi,mar,mhi
nep,nep,Nepali,npi,nep
pan,pan,Eastern Panjabi,pan,pan
pol,pol,Polish,pol,pol
por,por,Portuguese,por,por
ron,rum,Romanian,ron,rom
rus,rus,Russian,rus,rus
spa,spa,Spanish,spa,spa
tgl,tgl,Tagalog,tgl,tag
tam,tam,Tamil,tam,tml
tel,tel,Telugu,tel,tel
tha,tha,Thai,tha,tha
tur,tur,Turkish,tur,tur
urd,urd,Urdu,urd,urd
vie,vie,Vietnamese,vie,vie
yor,yor,Yoruba,yor,yor
pes,fas,Western Farsi,pes,prs
