lang1,lang2,physical_dist,lang1_ETS,lang2_ETS
ar,ar,0,ara,ara
bn,ar,4614982.267218481,ben,ara
bg,ar,2401295.977263979,bul,ara
zh,ar,6638051.508447147,chi,ara
nl,ar,4177448.057350393,dut,ara
en,ar,4596930.125161684,eng,ara
fr,ar,4223619.734216817,fre,ara
de,ar,3535217.2545667626,ger,ara
el,ar,2341440.632817024,gre,ara
gu,ar,2798242.7944938554,guj,ara
hi,ar,3311264.7026759945,hin,ara
ig,ar,4655630.590438395,ibo,ara
id,ar,8075938.139229537,ind,ara
it,ar,3260258.080739707,ita,ara
ja,ar,8384769.073273288,jpn,ara
kn,ar,3701030.470755984,kan,ara
ko,ar,7697747.804972213,kor,ara
ml,ar,4000129.0918839085,mal,ara
mr,ar,3530796.2382151787,mar,ara
ne,ar,4028124.8112452948,nep,ara
pa,ar,3098921.3251006734,pan,ara
pl,ar,3382718.1405297597,pol,ara
pt,ar,4910216.131249241,por,ara
ro,ar,2671762.2151359934,rum,ara
ru,ar,3480769.7395100384,rus,ara
es,ar,4317679.39513615,spa,ara
tl,ar,8119917.841005844,tgl,ara
ta,ar,4130178.1104682996,tam,ara
te,ar,3796409.9471252,tel,ara
th,ar,6044578.175083194,tha,ara
tr,ar,1663108.2670562621,tur,ara
ur,ar,2327599.247387567,urd,ara
vi,ar,6272238.631017685,vie,ara
yo,ar,4813272.363263254,yor,ara
fa,ar,1111150.3423337361,fas,ara
ar,bn,4614982.267218481,ara,ben
bn,bn,0,ben,ben
bg,bn,6227060.65847825,bul,ben
zh,bn,3029683.3075405867,chi,ben
nl,bn,7608580.87267794,dut,ben
en,bn,7977752.352595728,eng,ben
fr,bn,7921856.088380566,fre,ben
de,bn,7147511.525422445,ger,ben
el,bn,6246733.516112214,gre,ben
gu,bn,1937137.8336859606,guj,ben
hi,bn,1321746.3491365928,hin,ben
ig,bn,9073466.64894871,ibo,ben
id,bn,4074983.6764476798,ind,ben
it,bn,7231594.672961654,ita,ben
ja,bn,4490322.882790303,jpn,ben
kn,bn,1860230.4180453413,kan,ben
ko,bn,3901459.1840497293,kor,ben
ml,bn,2125787.963767223,mal,ben
mr,bn,1539462.5981032634,mar,ben
ne,bn,668407.5787109793,nep,ben
pa,bn,1569778.561201189,pan,ben
pl,bn,6680788.839082068,pol,ben
pt,bn,8985805.08588651,por,ben
ro,bn,6283482.655916813,rum,ben
ru,bn,4987457.040793719,rus,ben
es,bn,8411117.662603414,spa,ben
tl,bn,3508688.6686812914,tgl,ben
ta,bn,1904947.2116173638,tam,ben
te,bn,1445146.6458916834,tel,ben
th,bn,1560522.6838082627,tha,ben
tr,bn,5581352.706679097,tur,ben
ur,bn,2331017.7140615555,urd,ben
vi,bn,1664552.5334151452,vie,ben
yo,bn,9323991.838105742,yor,ben
fa,bn,3504143.697689875,fas,ben
ar,bg,2401295.977263979,ara,bul
bn,bg,6227060.65847825,ben,bul
bg,bg,0,bul,bul
zh,bg,7193555.034509061,chi,bul
nl,bg,1776194.7062983783,dut,bul
en,bg,2195775.728349094,eng,bul
fr,bg,1859985.0159963877,fre,bul
de,bg,1135551.5659691622,ger,bul
el,bg,116678.67040367148,gre,bul
gu,bg,4795601.704763638,guj,bul
hi,bg,5108089.318554319,hin,bul
ig,bg,4636254.674032113,ibo,bul
id,bg,10137053.509011086,ind,bul
it,bg,1007266.6599324949,ita,bul
ja,bg,8806285.984893756,jpn,bul
kn,bg,5866852.158996296,kan,bul
ko,bg,8161607.014696982,kor,bul
ml,bg,6231523.737451223,mal,bul
mr,bg,5579645.332853089,mar,bul
ne,bg,5561792.061936084,nep,bul
pa,bg,4680508.644275357,pan,bul
pl,bg,1058225.8889317138,pol,bul
pt,bg,2769783.788145032,por,bul
ro,bg,342555.0503473638,rum,bul
ru,bg,2435952.9172440227,rus,bul
es,bg,2186002.914913536,spa,bul
tl,bg,9480215.759058129,tgl,bul
ta,bg,6315125.699307686,tam,bul
te,bg,5850218.919003172,tel,bul
th,bg,7782575.214751833,tha,bul
tr,bg,758270.7801993121,tur,bul
ur,bg,4310584.095078339,urd,bul
vi,bg,7726739.809412633,vie,bul
yo,bg,4523467.487098318,yor,bul
fa,bg,3141106.2845628643,fas,bul
ar,zh,6638051.508447147,ara,chi
bn,zh,3029683.3075405867,ben,chi
bg,zh,7193555.034509061,bul,chi
zh,zh,0,chi,chi
nl,zh,7845391.59629439,dut,chi
en,zh,8070114.217975466,eng,chi
fr,zh,8303450.908577928,fre,chi
de,zh,7665339.062314109,ger,chi
el,zh,7267604.233541241,gre,chi
gu,zh,4643764.403534622,guj,chi
hi,zh,4003733.02584325,hin,chi
ig,zh,11278068.164958568,ibo,chi
id,zh,5285537.500991474,ind,chi
it,zh,8036255.613788268,ita,chi
ja,zh,1746718.3187015671,jpn,chi
kn,zh,4882409.027860228,kan,chi
ko,zh,1059856.5242616816,kor,chi
ml,zh,5151957.910743983,mal,chi
mr,zh,4511900.648246458,mar,chi
ne,zh,3156082.399195372,nep,chi
pa,zh,3826901.414196636,pan,chi
pl,zh,7102269.431983657,pol,chi
pt,zh,9511762.642413938,por,chi
ro,zh,7072528.142278151,rum,chi
ru,zh,4988282.162538832,rus,chi
es,zh,9074232.959843982,spa,chi
tl,zh,2926930.622972686,tgl,chi
ta,zh,4924230.82378058,tam,chi
te,zh,4462418.714680372,tel,chi
th,zh,3239821.3958671074,tha,chi
tr,zh,6833646.342592861,tur,chi
ur,zh,4847540.3679809645,urd,chi
vi,zh,2363956.152493489,vie,chi
yo,zh,11376250.039447632,yor,chi
fa,zh,5647683.303779208,fas,chi
ar,nl,4177448.057350393,ara,dut
bn,nl,7608580.87267794,ben,dut
bg,nl,1776194.7062983783,bul,dut
zh,nl,7845391.59629439,chi,dut
nl,nl,0,dut,dut
en,nl,422239.37327855104,eng,dut
fr,nl,494072.34925698204,fre,dut
de,nl,648899.8013403004,ger,dut
