iso,ETS_lang_name,google_lang_name,longitude,latitude
arb,ara,ar,43.8524953846,27.9624807692
ben,ben,bn,90,24
bul,bul,bg,25.0469866667,43.364585
cmn,chi,zh,116.228026,40.020884
nld,dut,nl,5,52
eng,eng,en,-1,53
fra,fre,fr,2,48
deu,ger,de,12.4676233333,48.648954
ell,gre,el,24.8699377778,42.3223855556
guj,guj,gu,71.096191,22.687012
hin,hin,hi,77,25
ibo,ibo,ig,7.23441,4.62705
ind,ind,id,109.71572,-7.33458
ita,ita,it,12.648925,43.046411
jpn,jpn,ja,135,35
kan,kan,kn,76.11983,13.58785
kor,kor,ko,128,37.5
mal,mal,ml,76.7651361,9.592084
mar,mar,mr,76.66649,17.93438
npi,nep,ne,85,28
pan,pan,pa,75.670166,30.036762
pol,pol,pl,18.625487,51.843923
por,por,pt,-8.1,39.91
ron,rum,ro,24.22557,46.391292
rus,rus,ru,50,59
spa,spa,es,-1.11788,40.4414175
tgl,tgl,tl,121.74695,14.06
tam,tam,ta,78.825989,10.520219
tel,tel,te,78.702392,16.452944
tha,tha,th,100.671386,14.191968
tur,tur,tr,32.866667,39.866667
urd,urd,ur,67,25
vie,vie,vi,105.77,20.68
yor,yor,yo,3.672245,7.153455
pes,fas,fa,55.1586071429,28.6592828571
