lang1,lang2,word,cor
ar,bg,ash,0.7890876530967442
ar,bg,cloud,0.44973089187433757
ar,bg,day,0.594634913200811
ar,bg,dust,0.7561627073583466
ar,bg,earth,0.5183345219811708
ar,bg,fire,0.6814928955565228
ar,bg,lake,0.7375688186946614
ar,bg,moon,0.19353473378141092
ar,bg,mountain,0.42466944849108385
ar,bg,night,0.738326601870032
ar,bg,river,0.876453099889071
ar,bg,salt,0.7583931894670223
ar,bg,sand,0.8367646808945303
ar,bg,sea,0.7560687691903164
ar,bg,sky,0.6048991376308099
ar,bg,smoke,0.6715170478998571
ar,bg,star,0.5391737760751903
ar,bg,stone,0.5538400363787408
ar,bg,sun,0.3571404934156606
ar,bg,water,0.7042152119956697
ar,bg,wind,0.38727723431655914
ar,bg,year,0.38533025845107177
ar,bn,ash,0.7539994706013712
ar,bn,cloud,0.2596819142365865
ar,bn,day,0.6166948629840749
ar,bn,dust,0.5816196179223881
ar,bn,earth,0.5787715768876747
ar,bn,fire,0.7074149657160537
ar,bn,lake,0.7941905858715769
ar,bn,moon,0.3513738269776798
ar,bn,mountain,0.8174750599659142
ar,bn,night,0.6295551504891974
ar,bn,river,0.7953399556150792
ar,bn,salt,0.7140328079215319
ar,bn,sand,0.7775780477199501
ar,bn,sea,0.43132505366442664
ar,bn,sky,0.6730222489639671
ar,bn,smoke,0.7505237821901821
ar,bn,star,0.45000037249043096
ar,bn,stone,0.7429398193375686
ar,bn,sun,0.37947985191205313
ar,bn,water,0.59151155573295
ar,bn,wind,0.20459198886432417
ar,bn,year,0.5955559299137257
ar,de,ash,0.8013316282085368
ar,de,cloud,0.3748961365038898
ar,de,day,0.7575612328711131
ar,de,dust,0.7140968174610436
ar,de,earth,0.4452867795890784
ar,de,fire,0.7806234697247713
ar,de,lake,0.7168848130326647
ar,de,moon,0.42289603650023116
ar,de,mountain,0.7333101557311413
ar,de,night,NA
ar,de,river,0.845777614395567
ar,de,salt,NA
ar,de,sand,0.8233322130330036
ar,de,sea,0.5699008166132787
ar,de,sky,0.5298465763540605
ar,de,smoke,0.744828331934423
ar,de,star,0.5730312419729645
ar,de,stone,0.7633412918579887
ar,de,sun,0.3032377496692396
ar,de,water,0.6020940484066203
ar,de,wind,0.14117155193878592
ar,de,year,0.496021998686893
ar,el,ash,0.6845868769052039
ar,el,cloud,0.29042222348078917
ar,el,day,0.7379689623854045
ar,el,dust,0.6651562586430535
ar,el,earth,0.5110840315397075
ar,el,fire,0.604878091743828
ar,el,lake,0.6991084319723695
ar,el,moon,0.21366396947600352
ar,el,mountain,0.664048945020723
ar,el,night,0.7678423919275886
ar,el,river,0.6601332900587877
ar,el,salt,0.770887073725234
ar,el,sand,0.6775377081067661
ar,el,sea,0.5380660980378758
ar,el,sky,0.49165180502607275
ar,el,smoke,0.6417026452505697
ar,el,star,0.47492713620214155
ar,el,stone,0.758162972486093
ar,el,sun,0.2861062084118888
ar,el,water,0.6123154229529431
ar,el,wind,0.3724517053126037
ar,el,year,0.5980397461468159
ar,en,ash,0.8124747713661753
ar,en,cloud,0.33202618652646965
ar,en,day,0.7929193292180478
ar,en,dust,0.7683193279977245
ar,en,earth,0.6806083084856954
ar,en,fire,0.7579507018163689
ar,en,lake,0.7671232160925439
ar,en,moon,0.3262859306606
ar,en,mountain,0.7225965355910793
ar,en,night,0.8040117135190543
ar,en,river,0.8250215942968994
