term,qap_p,estimate,tstat,n,ci_lower,ci_upper,model,model_type
Cultural Distance,0,0.1942439385765701,3.564198388489063,378,0.10652211492393049,0.2819657622292097,full,with culture
Climate Distance,0.329,0.046729484657078,1.0043883304129873,378,-0.025813879609012304,0.1192728489231683,full,with culture
Physical Distance,0.062,0.08823552229266374,1.8666599686496035,378,0.018251953538530222,0.15821909104679727,full,with culture
Grammatical Distance,0.054,0.09239019081054475,1.9563382058912944,378,0.012317656579456049,0.17246272504163346,full,with culture
Lexical Distance,0,0.4094321986634922,4.946300430873922,378,0.2727791967303297,0.5460852005966547,full,with culture
Cultural Distance,0,0.3916810482817224,8.096370641260775,378,0.2968089549337838,0.486553141629661,single,with culture
Climate Distance,0,0.2594409455946264,6.291346749756686,378,0.17857024551507186,0.34031164567418093,single,with culture
Physical Distance,0,0.29683463478810623,7.626394572734482,378,0.22050527696654165,0.3731639926096708,single,with culture
Grammatical Distance,0,0.26742530386997526,5.836024785641299,378,0.17756214588397737,0.3572884618559732,single,with culture
Lexical Distance,0,0.6901806105041558,9.389798033554735,378,0.5460345394140286,0.834326681594283,single,with culture
Climate Distance,0,0.16604533851839176,4.8103603217362725,595,0.1080977382301081,0.22399293880667542,full,without culture
Physical Distance,0,0.13779829755632617,3.7643945769300515,595,0.0811757301625777,0.19442086495007463,full,without culture
Grammatical Distance,0.491,0.026047790937748245,0.7194868465211741,595,-0.038096197117439404,0.09019177899293589,full,without culture
Lexical Distance,0,0.40618807637735194,6.429809797978716,595,0.29732740622891685,0.515048746525787,full,without culture
Climate Distance,0,0.3104281070600062,9.79233720523616,595,0.2482726966645901,0.3725835174554223,single,without culture
Physical Distance,0,0.31685250979728147,10.305112537302167,595,0.25656759178466687,0.37713742780989606,single,without culture
Grammatical Distance,0,0.20096378542435078,5.44462020439066,595,0.12859446838299066,0.2733331024657109,single,without culture
Lexical Distance,0,0.6323163462591066,10.771616835939977,595,0.5172209971491054,0.7474116953691078,single,without culture
Agriculture/Vegetation,0.196,0.0556834435120626,1.3165767992516684,378,-0.027258879207702494,0.1386257662318277,single,individual cultural predictors
Basic Actions/Technology,0,0.27409202493867973,5.907181412957118,378,0.18309810024358356,0.36508594963377594,single,individual cultural predictors
Emotions/Values,0.002,0.18933636403653376,3.796166274069485,378,0.09152594655740445,0.2871467815156631,single,individual cultural predictors
Kinship,0,0.3553963876254579,8.205572467913463,378,0.2704587006428438,0.440334074608072,single,individual cultural predictors
Law,0,0.2409623976791265,5.622150379126747,378,0.1569113513000905,0.32501344405816246,single,individual cultural predictors
Possession,0,0.3207320422896693,6.795327573009061,378,0.22817099518419978,0.41329308939513876,single,individual cultural predictors
Religion/Belief,0,0.2555657343843779,5.5688864786086265,378,0.16556820949369436,0.3455632592750615,single,individual cultural predictors
Social/Political Relations,0,0.22504481750973973,4.72457637453741,378,0.13163286528550872,0.31845676973397075,single,individual cultural predictors
The House,0.033,0.10318645039425581,2.17062903634559,378,0.009961240235301469,0.19641166055321013,single,individual cultural predictors
The Physical World,0.157,0.06882042663554874,1.482975783617118,378,-0.022187581175991997,0.1598284344470895,single,individual cultural predictors
