lang1_ets,lang2_ets,semantic_dist,eco_dist,asjp_lang_dist,wals_lang_dist,physical_dist,cultural_distances,weighted_mean_trade,mean_trade,weighted_sum_trade,sum_trade,agriculture_and_vegetation,basic_actions_and_technology,emotions_and_values,kinship,law,possession,religion_and_belief,social_and_political_relations,the_house,the_physical_world
por,fre,1.0630721689648805,1.3214347197233025,0.7019702237674957,156.74032499366695,1208413.2384811023,NA,-18.311390309385203,-16.938579361538903,-19.00453748994515,-17.63172654209885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spa,fre,1.1644566641553753,0.6648007116426826,0.7491307836319872,102.582749652115,875856.135905483,0.280215053763441,-17.017415766572128,-16.008766033151165,-17.710562947132075,-16.701913213711112,0.181818181818182,0.19875,0.227333333333333,0.24,0.225454545454546,0.273409090909091,0.245,0.279230769230769,0.434545454545455,0.57
ger,fre,1.2487182689307752,0.7771132008091111,0.8534367477935277,113.45959196289431,778965.864021161,NA,-19.377532099332118,-16.71036912794048,-20.070679279892065,-17.403516308500425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jpn,fre,1.7806481477686062,1.5288493846413436,0.9170009806543639,179.63896058823207,9696454.97876045,0.463440860215054,-19.060341548529614,-17.086322784870386,-19.753488729089558,-17.77946996543033,0.363636363636364,0.559583333333333,0.528666666666667,0.408571428571429,0.24,0.495909090909091,0.376666666666667,0.393076923076923,0.598181818181818,0.333333333333333
ind,fre,1.6049486255382155,4.616594617564402,0.8880271017206026,207.03581838421374,11928956.937910737,0.522903225806452,-17.785569754995667,-16.759718030650426,-18.47871693555561,-17.45286521121037,0.363636363636364,0.530833333333333,0.569333333333334,0.484642857142857,0.623636363636363,0.488636363636364,0.446666666666667,0.57,0.561818181818181,0.586666666666666
mal,fre,2.2408688392588068,3.922668040855865,0.8340911117054471,168.12980526468692,8089065.955916667,0.560322580645161,-19.25715203251489,-17.581617694177037,-19.950299213074835,-18.274764874736984,0.272727272727273,0.460416666666667,0.518,0.721071428571428,0.472727272727272,0.449090909090909,0.548333333333333,0.49,0.594545454545454,0.561666666666666
pan,fre,2.1933018907727253,3.342569057168838,0.8157261299812784,167.8638087539556,6425172.469359724,0.608172043010753,-19.27157017385596,-17.20307122859645,-19.964717354415907,-17.896218409156397,0.181818181818182,0.615416666666666,0.564666666666667,0.670714285714287,0.599090909090909,0.507954545454546,0.275,0.725384615384615,0.933636363636363,0.629999999999999
tgl,fre,1.7442586824856008,3.4639537767264175,0.8942676294909513,198.11502356598544,10926549.12716388,0.392688172043011,-15.975137172271412,-17.729676164960523,-16.668284352831357,-18.422823345520467,0.363636363636364,0.490416666666666,0.602666666666667,0.265,0.19,0.470454545454545,0.38,0.274615384615385,0.459090909090909,0.388333333333333
tel,fre,2.534011470399562,3.297332832464349,0.8778639564946064,169.22969620506674,7682561.056816028,0.498709677419355,-19.20578730891068,-16.678103931619262,-19.898934489470623,-17.371251112179205,0.272727272727273,0.420833333333333,0.412,0.652142857142858,0.314545454545455,0.3725,0.598333333333333,0.399615384615384,0.539090909090909,0.611666666666666
tha,fre,1.7107879205161833,3.1877122332054637,0.879736114825711,206.90721099797304,9480603.183447165,0.438172043010753,-19.58400259320326,-18.704203099978756,-20.277149773763206,-19.397350280538703,0.363636363636364,0.400833333333333,0.474666666666666,0.408571428571429,0.24,0.440454545454545,0.558333333333333,0.316153846153846,0.325454545454546,0.333333333333333
